t,value
1546540195,0
1546540198,0
1546540201,189
1546540204,990
1546540207,990
1546540210,1033
1546540213,2427
1546540216,2427
1546540219,2427
1546540222,2427
1546540225,2427
1546540228,2427
1546540231,2565
1546540234,2565
1546540237,2565
1546540240,2565
1546540243,2565
1546540246,2565
1546540249,2565
1546540252,2695
1546540255,2695
1546540258,2695
1546540261,2695
1546540264,2695
1546540267,2695
1546540270,2695
1546540273,2766
1546540276,2766
1546540279,2766
1546540282,2766
1546540285,2766
1546540288,2766
1546540291,2856
1546540294,2856
1546540297,2856
1546540300,2856
1546540303,2856
1546540306,2856
1546540309,2856
1546540312,2928
1546540315,2928
1546540318,2928
1546540321,2928
1546540324,2928
1546540327,2928
1546540330,2928
1546540333,2978
1546540336,2978
1546540339,2978
1546540342,2978
1546540345,2978
1546540348,2978
1546540351,3057
1546540354,3057
1546540357,3057
1546540360,3057
1546540363,3080
1546540366,3092
1546540369,3106
1546540372,3237
1546540375,3237
1546540378,3237
1546540381,3237
1546540384,3237
1546540387,3237
1546540390,3237
1546540393,3286
1546540396,3286
1546540399,3286
1546540402,3286
1546540405,3286
1546540408,3286
1546540411,3373
1546540414,3373
1546540417,3373
1546540420,3373
1546540423,3373
1546540426,3373
1546540429,3373
1546540432,3426
1546540435,3426
1546540438,3426
1546540441,3426
1546540444,3426
1546540447,3426
1546540450,3426
1546540453,3491
1546540456,3491
1546540459,3491
1546540462,3491
1546540465,3491
1546540468,3491
1546540471,3623
1546540474,3623
1546540477,3623
1546540480,3623
1546540483,3623
1546540486,3623
1546540489,3623
1546540492,3732
1546540495,3732
1546540498,3732
1546540501,3732
1546540504,3732
1546540507,3732
1546540510,3732
1546540513,3831
1546540516,3831
1546540519,3831
1546540522,3831
1546540525,3831
1546540528,3831
1546540531,3905
1546540534,3905
1546540537,3905
1546540540,3905
1546540543,3905
1546540546,3905
1546540549,3905
1546540552,3973
1546540555,3973
1546540558,3973
1546540561,3973
1546540564,3973
1546540567,3973
1546540570,3973
1546540573,4044
1546540576,4044
1546540579,4044
1546540582,4044
1546540585,4044
1546540588,4044
1546540591,4132
1546540594,4132
1546540597,4150
1546540600,4150
1546540603,4150
1546540606,4150
1546540609,4150
1546540612,4210
1546540615,4210
1546540618,4217
1546540621,4227
1546540624,4227
1546540627,4227
1546540630,4234
1546540633,4293
1546540636,4304
1546540639,4332
1546540642,4355
1546540645,4355
1546540648,4355
1546540651,4440
1546540654,4440
1546540657,4462
1546540660,4481
1546540663,4622
1546540666,4622
1546540669,4622
1546540672,4694
1546540675,4694
1546540678,4694
1546540681,4694
1546540684,4694
1546540687,4694
1546540690,4694
1546540693,4748
1546540696,4748
1546540699,4748
1546540702,4751
1546540705,4772
1546540708,4772
