t,value
1546540195,0
1546540198,0
1546540201,136
1546540204,3396
1546540207,3396
1546540210,3437
1546540213,4720
1546540216,4720
1546540219,4720
1546540222,4720
1546540225,4720
1546540228,4720
1546540231,4806
1546540234,4806
1546540237,4806
1546540240,4806
1546540243,4806
1546540246,4806
1546540249,4806
1546540252,4887
1546540255,4887
1546540258,4887
1546540261,4887
1546540264,4887
1546540267,4887
1546540270,4887
1546540273,4952
1546540276,4952
1546540279,4952
1546540282,4952
1546540285,4952
1546540288,4952
1546540291,5030
1546540294,5030
1546540297,5030
1546540300,5030
1546540303,5030
1546540306,5030
1546540309,5030
1546540312,5093
1546540315,5093
1546540318,5093
1546540321,5093
1546540324,5093
1546540327,5093
1546540330,5093
1546540333,5137
1546540336,5137
1546540339,5137
1546540342,5137
1546540345,5137
1546540348,5137
1546540351,5206
1546540354,5206
1546540357,5206
1546540360,5206
1546540363,5227
1546540366,5237
1546540369,5249
1546540372,5380
1546540375,5380
1546540378,5380
1546540381,5380
1546540384,5380
1546540387,5380
1546540390,5380
1546540393,5425
1546540396,5425
1546540399,5425
1546540402,5425
1546540405,5425
1546540408,5425
1546540411,5498
1546540414,5498
1546540417,5498
1546540420,5498
1546540423,5498
1546540426,5498
1546540429,5498
1546540432,5550
1546540435,5550
1546540438,5550
1546540441,5550
1546540444,5550
1546540447,5550
1546540450,5550
1546540453,5621
1546540456,5621
1546540459,5621
1546540462,5621
1546540465,5621
1546540468,5621
1546540471,5691
1546540474,5691
1546540477,5691
1546540480,5691
1546540483,5691
1546540486,5691
1546540489,5691
1546540492,5806
1546540495,5806
1546540498,5806
1546540501,5806
1546540504,5806
1546540507,5806
1546540510,5806
1546540513,5897
1546540516,5897
1546540519,5897
1546540522,5897
1546540525,5897
1546540528,5897
1546540531,5962
1546540534,5962
1546540537,5962
1546540540,5962
1546540543,5962
1546540546,5962
1546540549,5962
1546540552,6022
1546540555,6022
1546540558,6022
1546540561,6022
1546540564,6022
1546540567,6022
1546540570,6022
1546540573,6087
1546540576,6087
1546540579,6087
1546540582,6087
1546540585,6087
1546540588,6087
1546540591,6176
1546540594,6176
1546540597,6194
1546540600,6194
1546540603,6194
1546540606,6194
1546540609,6194
1546540612,6244
1546540615,6244
1546540618,6251
1546540621,6260
1546540624,6260
1546540627,6260
1546540630,6266
1546540633,6317
1546540636,6328
1546540639,6354
1546540642,6379
1546540645,6379
1546540648,6379
1546540651,6465
1546540654,6465
1546540657,6487
1546540660,6508
1546540663,6613
1546540666,6613
1546540669,6613
1546540672,6675
1546540675,6675
1546540678,6675
1546540681,6675
1546540684,6675
1546540687,6675
1546540690,6675
1546540693,6729
1546540696,6729
1546540699,6729
1546540702,6731
1546540705,6756
1546540708,6756
