t,value
1546540195,0
1546540198,0
1546540201,1
1546540204,2
1546540207,2
1546540210,3
1546540213,8
1546540216,8
1546540219,8
1546540222,8
1546540225,8
1546540228,8
1546540231,11
1546540234,11
1546540237,11
1546540240,11
1546540243,11
1546540246,11
1546540249,11
1546540252,14
1546540255,14
1546540258,14
1546540261,14
1546540264,14
1546540267,14
1546540270,14
1546540273,17
1546540276,17
1546540279,17
1546540282,17
1546540285,17
1546540288,17
1546540291,20
1546540294,20
1546540297,20
1546540300,20
1546540303,20
1546540306,20
1546540309,20
1546540312,23
1546540315,23
1546540318,23
1546540321,23
1546540324,23
1546540327,23
1546540330,23
1546540333,26
1546540336,26
1546540339,26
1546540342,26
1546540345,26
1546540348,26
1546540351,29
1546540354,29
1546540357,29
1546540360,29
1546540363,30
1546540366,32
1546540369,34
1546540372,40
1546540375,40
1546540378,40
1546540381,40
1546540384,40
1546540387,40
1546540390,40
1546540393,43
1546540396,43
1546540399,43
1546540402,43
1546540405,43
1546540408,43
1546540411,46
1546540414,46
1546540417,46
1546540420,46
1546540423,46
1546540426,46
1546540429,46
1546540432,49
1546540435,49
1546540438,49
1546540441,49
1546540444,49
1546540447,49
1546540450,49
1546540453,52
1546540456,52
1546540459,52
1546540462,52
1546540465,52
1546540468,52
1546540471,55
1546540474,55
1546540477,55
1546540480,55
1546540483,55
1546540486,55
1546540489,55
1546540492,58
1546540495,58
1546540498,58
1546540501,58
1546540504,58
1546540507,58
1546540510,58
1546540513,61
1546540516,61
1546540519,61
1546540522,61
1546540525,61
1546540528,61
1546540531,64
1546540534,64
1546540537,64
1546540540,64
1546540543,64
1546540546,64
1546540549,64
1546540552,67
1546540555,67
1546540558,67
1546540561,67
1546540564,67
1546540567,67
1546540570,67
1546540573,70
1546540576,70
1546540579,70
1546540582,70
1546540585,70
1546540588,70
1546540591,73
1546540594,73
1546540597,74
1546540600,74
1546540603,74
1546540606,74
1546540609,74
1546540612,77
1546540615,77
1546540618,78
1546540621,79
1546540624,79
1546540627,79
1546540630,80
1546540633,84
1546540636,85
1546540639,86
1546540642,88
1546540645,88
1546540648,88
1546540651,91
1546540654,91
1546540657,93
1546540660,95
1546540663,99
1546540666,99
1546540669,99
1546540672,102
1546540675,102
1546540678,102
1546540681,102
1546540684,102
1546540687,102
1546540690,102
1546540693,105
1546540696,105
1546540699,105
1546540702,106
1546540705,109
1546540708,109
1546540711,113
1546540714,116
1546540717,118
1546540720,119
1546540723,120
1546540726,121
1546540729,124
1546540732,127
1546540735,128
1546540738,130
1546540741,131
1546540744,131
1546540747,132
1546540750,132
1546540753,135
1546540756,135
1546540759,135
1546540762,135
1546540765,135
1546540768,135
1546540771,138
1546540774,138
1546540777,138
1546540780,138
