t,value
1546540195,0
1546540198,0
1546540201,1
1546540204,2
1546540207,2
1546540210,4
1546540213,9
1546540216,9
1546540219,9
1546540222,9
1546540225,9
1546540228,9
1546540231,12
1546540234,12
1546540237,12
1546540240,12
1546540243,12
1546540246,12
1546540249,12
1546540252,15
1546540255,15
1546540258,15
1546540261,15
1546540264,15
1546540267,15
1546540270,15
1546540273,18
1546540276,18
1546540279,18
1546540282,18
1546540285,18
1546540288,18
1546540291,21
1546540294,21
1546540297,21
1546540300,21
1546540303,21
1546540306,21
1546540309,21
1546540312,24
1546540315,24
1546540318,24
1546540321,24
1546540324,24
1546540327,24
1546540330,24
1546540333,27
1546540336,27
1546540339,27
1546540342,27
1546540345,27
1546540348,27
1546540351,30
1546540354,30
1546540357,30
1546540360,30
1546540363,31
1546540366,33
1546540369,35
1546540372,41
1546540375,41
1546540378,41
1546540381,41
1546540384,41
1546540387,41
1546540390,41
1546540393,44
1546540396,44
1546540399,44
1546540402,44
1546540405,44
1546540408,44
1546540411,47
1546540414,47
1546540417,47
1546540420,47
1546540423,47
1546540426,47
1546540429,47
1546540432,50
1546540435,50
1546540438,50
1546540441,50
1546540444,50
1546540447,50
1546540450,50
1546540453,53
1546540456,53
1546540459,53
1546540462,53
1546540465,53
1546540468,53
1546540471,56
1546540474,56
1546540477,56
1546540480,56
1546540483,56
1546540486,56
1546540489,56
1546540492,59
1546540495,59
1546540498,59
1546540501,59
1546540504,59
1546540507,59
1546540510,59
1546540513,62
1546540516,62
1546540519,62
1546540522,62
1546540525,62
1546540528,62
1546540531,65
1546540534,65
1546540537,65
1546540540,65
1546540543,65
1546540546,65
1546540549,65
1546540552,68
1546540555,68
1546540558,68
1546540561,68
1546540564,68
1546540567,68
1546540570,68
1546540573,71
1546540576,71
1546540579,71
1546540582,71
1546540585,71
1546540588,71
1546540591,74
1546540594,74
1546540597,75
1546540600,75
1546540603,75
1546540606,75
1546540609,75
1546540612,78
1546540615,78
1546540618,79
1546540621,80
1546540624,80
1546540627,80
1546540630,81
1546540633,85
1546540636,86
1546540639,87
1546540642,89
1546540645,89
1546540648,89
1546540651,92
1546540654,92
1546540657,94
1546540660,96
1546540663,100
1546540666,100
1546540669,100
1546540672,103
1546540675,103
1546540678,103
1546540681,103
1546540684,103
1546540687,103
1546540690,103
1546540693,106
1546540696,106
1546540699,106
1546540702,107
1546540705,110
1546540708,110
1546540711,114
1546540714,117
1546540717,120
1546540720,120
1546540723,121
1546540726,122
1546540729,125
1546540732,128
1546540735,129
1546540738,131
1546540741,132
1546540744,132
1546540747,133
1546540750,133
1546540753,136
1546540756,136
1546540759,136
1546540762,136
1546540765,136
1546540768,136
1546540771,139
1546540774,139
1546540777,139
1546540780,139
