t,value
1546540195,0
1546540198,0
1546540201,4
1546540204,14
1546540207,14
1546540210,18
1546540213,54
1546540216,54
1546540219,54
1546540222,54
1546540225,54
1546540228,54
1546540231,76
1546540234,76
1546540237,76
1546540240,76
1546540243,76
1546540246,76
1546540249,76
1546540252,98
1546540255,98
1546540258,98
1546540261,98
1546540264,98
1546540267,98
1546540270,98
1546540273,120
1546540276,120
1546540279,120
1546540282,120
1546540285,120
1546540288,120
1546540291,142
1546540294,142
1546540297,142
1546540300,142
1546540303,142
1546540306,142
1546540309,142
1546540312,164
1546540315,164
1546540318,164
1546540321,164
1546540324,164
1546540327,164
1546540330,164
1546540333,186
1546540336,186
1546540339,186
1546540342,186
1546540345,186
1546540348,186
1546540351,208
1546540354,208
1546540357,208
1546540360,208
1546540363,216
1546540366,232
1546540369,248
1546540372,294
1546540375,294
1546540378,294
1546540381,294
1546540384,294
1546540387,294
1546540390,294
1546540393,316
1546540396,316
1546540399,316
1546540402,316
1546540405,316
1546540408,316
1546540411,338
1546540414,338
1546540417,338
1546540420,338
1546540423,338
1546540426,338
1546540429,338
1546540432,360
1546540435,360
1546540438,360
1546540441,360
1546540444,360
1546540447,360
1546540450,360
1546540453,382
1546540456,382
1546540459,382
1546540462,382
1546540465,382
1546540468,382
1546540471,404
1546540474,404
1546540477,404
1546540480,404
1546540483,404
1546540486,404
1546540489,404
1546540492,426
1546540495,426
1546540498,426
1546540501,426
1546540504,426
1546540507,426
1546540510,426
1546540513,448
1546540516,448
1546540519,448
1546540522,448
1546540525,448
1546540528,448
1546540531,470
1546540534,470
1546540537,470
1546540540,470
1546540543,470
1546540546,470
1546540549,470
1546540552,492
1546540555,492
1546540558,492
1546540561,492
1546540564,492
1546540567,492
1546540570,492
1546540573,514
1546540576,514
1546540579,514
1546540582,514
1546540585,514
1546540588,514
1546540591,536
1546540594,536
1546540597,544
1546540600,544
1546540603,544
1546540606,544
1546540609,544
1546540612,566
1546540615,566
1546540618,574
1546540621,582
1546540624,582
1546540627,582
1546540630,590
1546540633,620
1546540636,628
1546540639,636
1546540642,652
1546540645,652
1546540648,652
1546540651,674
1546540654,674
1546540657,690
1546540660,706
1546540663,736
1546540666,736
1546540669,736
1546540672,758
1546540675,758
1546540678,758
1546540681,758
1546540684,758
1546540687,758
1546540690,758
1546540693,780
1546540696,780
1546540699,780
1546540702,787
1546540705,811
1546540708,811
1546540711,841
1546540714,862
1546540717,884
1546540720,884
1546540723,892
1546540726,900
1546540729,924
1546540732,946
1546540735,954
1546540738,969
1546540741,977
1546540744,977
1546540747,984
1546540750,984
1546540753,1006
1546540756,1006
1546540759,1006
1546540762,1006
1546540765,1006
1546540768,1006
1546540771,1028
1546540774,1028
