t,value
1546540195,0
1546540198,0
1546540201,5
1546540204,16
1546540207,16
1546540210,21
1546540213,62
1546540216,62
1546540219,62
1546540222,62
1546540225,62
1546540228,62
1546540231,87
1546540234,87
1546540237,87
1546540240,87
1546540243,87
1546540246,87
1546540249,87
1546540252,112
1546540255,112
1546540258,112
1546540261,112
1546540264,112
1546540267,112
1546540270,112
1546540273,137
1546540276,137
1546540279,137
1546540282,137
1546540285,137
1546540288,137
1546540291,162
1546540294,162
1546540297,162
1546540300,162
1546540303,162
1546540306,162
1546540309,162
1546540312,187
1546540315,187
1546540318,187
1546540321,187
1546540324,187
1546540327,187
1546540330,187
1546540333,212
1546540336,212
1546540339,212
1546540342,212
1546540345,212
1546540348,212
1546540351,237
1546540354,237
1546540357,237
1546540360,237
1546540363,246
1546540366,264
1546540369,282
1546540372,334
1546540375,334
1546540378,334
1546540381,334
1546540384,334
1546540387,334
1546540390,334
1546540393,359
1546540396,359
1546540399,359
1546540402,359
1546540405,359
1546540408,359
1546540411,384
1546540414,384
1546540417,384
1546540420,384
1546540423,384
1546540426,384
1546540429,384
1546540432,409
1546540435,409
1546540438,409
1546540441,409
1546540444,409
1546540447,409
1546540450,409
1546540453,434
1546540456,434
1546540459,434
1546540462,434
1546540465,434
1546540468,434
1546540471,459
1546540474,459
1546540477,459
1546540480,459
1546540483,459
1546540486,459
1546540489,459
1546540492,484
1546540495,484
1546540498,484
1546540501,484
1546540504,484
1546540507,484
1546540510,484
1546540513,509
1546540516,509
1546540519,509
1546540522,509
1546540525,509
1546540528,509
1546540531,534
1546540534,534
1546540537,534
1546540540,534
1546540543,534
1546540546,534
1546540549,534
1546540552,559
1546540555,559
1546540558,559
1546540561,559
1546540564,559
1546540567,559
1546540570,559
1546540573,584
1546540576,584
1546540579,584
1546540582,584
1546540585,584
1546540588,584
1546540591,609
1546540594,609
1546540597,618
1546540600,618
1546540603,618
1546540606,618
1546540609,618
1546540612,643
1546540615,643
1546540618,652
1546540621,661
1546540624,661
1546540627,661
1546540630,670
1546540633,704
1546540636,713
1546540639,722
1546540642,740
1546540645,740
1546540648,740
1546540651,765
1546540654,765
1546540657,783
1546540660,804
1546540663,835
1546540666,835
1546540669,835
1546540672,860
1546540675,860
1546540678,860
1546540681,860
1546540684,860
1546540687,860
1546540690,860
1546540693,885
1546540696,885
1546540699,885
1546540702,893
1546540705,920
1546540708,920
1546540711,954
1546540714,978
1546540717,1003
1546540720,1003
1546540723,1012
1546540726,1021
1546540729,1048
1546540732,1073
1546540735,1082
1546540738,1099
1546540741,1108
1546540744,1108
1546540747,1116
1546540750,1116
1546540753,1141
1546540756,1141
1546540759,1141
1546540762,1141
1546540765,1141
1546540768,1141
1546540771,1166
