t,value
1546540195,0
1546540198,0
1546540201,4
1546540204,14
1546540207,14
1546540210,19
1546540213,55
1546540216,55
1546540219,55
1546540222,55
1546540225,55
1546540228,55
1546540231,77
1546540234,77
1546540237,77
1546540240,77
1546540243,77
1546540246,77
1546540249,77
1546540252,99
1546540255,99
1546540258,99
1546540261,99
1546540264,99
1546540267,99
1546540270,99
1546540273,121
1546540276,121
1546540279,121
1546540282,121
1546540285,121
1546540288,121
1546540291,143
1546540294,143
1546540297,143
1546540300,143
1546540303,143
1546540306,143
1546540309,143
1546540312,165
1546540315,165
1546540318,165
1546540321,165
1546540324,165
1546540327,165
1546540330,165
1546540333,187
1546540336,187
1546540339,187
1546540342,187
1546540345,187
1546540348,187
1546540351,209
1546540354,209
1546540357,209
1546540360,209
1546540363,217
1546540366,233
1546540369,249
1546540372,295
1546540375,295
1546540378,295
1546540381,295
1546540384,295
1546540387,295
1546540390,295
1546540393,317
1546540396,317
1546540399,317
1546540402,317
1546540405,317
1546540408,317
1546540411,339
1546540414,339
1546540417,339
1546540420,339
1546540423,339
1546540426,339
1546540429,339
1546540432,361
1546540435,361
1546540438,361
1546540441,361
1546540444,361
1546540447,361
1546540450,361
1546540453,383
1546540456,383
1546540459,383
1546540462,383
1546540465,383
1546540468,383
1546540471,405
1546540474,405
1546540477,405
1546540480,405
1546540483,405
1546540486,405
1546540489,405
1546540492,427
1546540495,427
1546540498,427
1546540501,427
1546540504,427
1546540507,427
1546540510,427
1546540513,449
1546540516,449
1546540519,449
1546540522,449
1546540525,449
1546540528,449
1546540531,471
1546540534,471
1546540537,471
1546540540,471
1546540543,471
1546540546,471
1546540549,471
1546540552,493
1546540555,493
1546540558,493
1546540561,493
1546540564,493
1546540567,493
1546540570,493
1546540573,515
1546540576,515
1546540579,515
1546540582,515
1546540585,515
1546540588,515
1546540591,537
1546540594,537
1546540597,545
1546540600,545
1546540603,545
1546540606,545
1546540609,545
1546540612,567
1546540615,567
1546540618,575
1546540621,583
1546540624,583
1546540627,583
1546540630,591
1546540633,621
1546540636,629
1546540639,637
1546540642,653
1546540645,653
1546540648,653
1546540651,675
1546540654,675
1546540657,691
1546540660,713
1546540663,737
1546540666,737
1546540669,737
1546540672,759
1546540675,759
1546540678,759
1546540681,759
1546540684,759
1546540687,759
1546540690,759
1546540693,781
1546540696,781
1546540699,781
1546540702,788
1546540705,812
1546540708,812
1546540711,842
1546540714,863
1546540717,885
1546540720,885
1546540723,893
1546540726,901
1546540729,925
1546540732,947
1546540735,955
1546540738,970
1546540741,978
1546540744,978
1546540747,985
1546540750,985
1546540753,1007
1546540756,1007
1546540759,1007
1546540762,1007
1546540765,1007
1546540768,1007
1546540771,1029
1546540774,1029
