t,value
1546540195,14
1546540198,14
1546540201,14
1546540204,14
1546540207,14
1546540210,14
1546540213,14
1546540216,14
1546540219,14
1546540222,14
1546540225,14
1546540228,14
1546540231,14
1546540234,14
1546540237,14
1546540240,14
1546540243,14
1546540246,14
1546540249,14
1546540252,14
1546540255,14
1546540258,14
1546540261,14
1546540264,14
1546540267,14
1546540270,14
1546540273,14
1546540276,14
1546540279,14
1546540282,14
1546540285,14
1546540288,14
1546540291,14
1546540294,14
1546540297,14
1546540300,14
1546540303,14
1546540306,14
1546540309,14
1546540312,14
1546540315,14
1546540318,14
1546540321,14
1546540324,14
1546540327,14
1546540330,14
1546540333,14
1546540336,14
1546540339,14
1546540342,14
1546540345,14
1546540348,14
1546540351,14
1546540354,14
1546540357,14
1546540360,14
1546540363,14
1546540366,14
1546540369,14
1546540372,14
1546540375,14
1546540378,14
1546540381,14
1546540384,14
1546540387,14
1546540390,14
1546540393,14
1546540396,14
1546540399,14
1546540402,14
1546540405,14
1546540408,14
1546540411,14
1546540414,14
1546540417,14
1546540420,14
1546540423,14
1546540426,14
1546540429,14
1546540432,14
1546540435,14
1546540438,14
1546540441,14
1546540444,14
1546540447,14
1546540450,14
1546540453,14
1546540456,14
1546540459,14
1546540462,14
1546540465,14
1546540468,14
1546540471,14
1546540474,14
1546540477,14
1546540480,14
1546540483,14
1546540486,14
1546540489,14
1546540492,14
1546540495,14
1546540498,14
1546540501,14
1546540504,14
1546540507,14
1546540510,14
1546540513,14
1546540516,14
1546540519,14
1546540522,14
1546540525,14
1546540528,14
1546540531,14
1546540534,14
1546540537,14
1546540540,14
1546540543,14
1546540546,14
1546540549,14
1546540552,14
1546540555,14
1546540558,14
1546540561,14
1546540564,14
1546540567,14
1546540570,14
1546540573,14
1546540576,14
1546540579,14
1546540582,14
1546540585,14
1546540588,14
1546540591,14
1546540594,14
1546540597,14
1546540600,14
1546540603,14
1546540606,14
1546540609,14
1546540612,14
1546540615,14
1546540618,14
1546540621,14
1546540624,14
1546540627,14
1546540630,14
1546540633,14
1546540636,14
1546540639,14
1546540642,14
1546540645,14
1546540648,14
1546540651,14
1546540654,14
1546540657,14
1546540660,14
1546540663,14
1546540666,14
1546540669,14
1546540672,14
1546540675,14
1546540678,14
1546540681,14
1546540684,14
1546540687,14
1546540690,14
1546540693,14
1546540696,14
1546540699,14
1546540702,14
1546540705,14
1546540708,14
1546540711,14
1546540714,14
1546540717,14
1546540720,14
1546540723,14
1546540726,14
1546540729,14
1546540732,14
1546540735,14
1546540738,14
1546540741,14
1546540744,14
1546540747,14
1546540750,14
1546540753,14
1546540756,14
1546540759,14
1546540762,14
1546540765,14
1546540768,14
1546540771,14
1546540774,14
1546540777,14
1546540780,14
1546540783,14
1546540786,14
1546540789,14
1546540792,14
1546540795,14
1546540798,14
1546540801,14
1546540804,14
1546540807,14
1546540810,14
1546540813,14
1546540816,14
1546540819,14
1546540822,14
1546540825,14
1546540828,14
1546540831,14
1546540834,14
1546540837,14
1546540840,14
1546540843,14
1546540846,14
1546540849,14
1546540852,14
1546540855,14
1546540858,14
1546540861,14
1546540864,14
1546540867,14
1546540870,14
1546540873,14
1546540876,14
1546540879,14
1546540882,14
1546540885,14
1546540888,14
1546540891,14
1546540894,14
1546540897,14
1546540900,14
1546540903,14
1546540906,14
1546540909,14
1546540912,14
1546540915,14
1546540918,14
1546540921,14
1546540924,14
1546540927,14
1546540930,14
1546540933,14
1546540936,14
1546540939,14
1546540942,14
1546540945,14
1546540948,14
1546540951,14
1546540954,14
1546540957,14
1546540960,14
1546540963,14
1546540966,14
1546540969,14
1546540972,14
1546540975,14
1546540978,14
1546540981,14
t,value
1546541001,1
1546541004,1
1546541007,1
1546541010,1
