t,value
1546540195,32
1546540198,32
1546540201,32
1546540204,32
1546540207,32
1546540210,32
1546540213,32
1546540216,32
1546540219,32
1546540222,32
1546540225,32
1546540228,32
1546540231,32
1546540234,32
1546540237,32
1546540240,32
1546540243,32
1546540246,32
1546540249,32
1546540252,38
1546540255,38
1546540258,38
1546540261,38
1546540264,38
1546540267,38
1546540270,38
1546540273,38
1546540276,38
1546540279,38
1546540282,38
1546540285,38
1546540288,38
1546540291,38
1546540294,38
1546540297,38
1546540300,38
1546540303,38
1546540306,38
1546540309,38
1546540312,44
1546540315,44
1546540318,44
1546540321,44
1546540324,44
1546540327,44
1546540330,44
1546540333,44
1546540336,44
1546540339,44
1546540342,44
1546540345,44
1546540348,44
1546540351,44
1546540354,44
1546540357,44
1546540360,44
1546540363,44
1546540366,44
1546540369,44
1546540372,50
1546540375,50
1546540378,50
1546540381,50
1546540384,50
1546540387,50
1546540390,50
1546540393,50
1546540396,50
1546540399,50
1546540402,50
1546540405,50
1546540408,50
1546540411,50
1546540414,50
1546540417,50
1546540420,50
1546540423,50
1546540426,50
1546540429,50
1546540432,56
1546540435,56
1546540438,56
1546540441,56
1546540444,56
1546540447,56
1546540450,56
1546540453,56
1546540456,56
1546540459,56
1546540462,56
1546540465,56
1546540468,56
1546540471,56
1546540474,56
1546540477,56
1546540480,56
1546540483,56
1546540486,56
1546540489,56
1546540492,62
1546540495,62
1546540498,62
1546540501,62
1546540504,62
1546540507,62
1546540510,62
1546540513,62
1546540516,62
1546540519,62
1546540522,62
1546540525,62
1546540528,62
1546540531,62
1546540534,62
1546540537,62
1546540540,62
1546540543,62
1546540546,62
1546540549,62
1546540552,68
1546540555,68
1546540558,68
1546540561,68
1546540564,68
1546540567,68
1546540570,68
1546540573,68
1546540576,68
1546540579,68
1546540582,68
1546540585,68
1546540588,68
1546540591,68
1546540594,68
1546540597,68
1546540600,68
1546540603,68
1546540606,68
1546540609,68
1546540612,74
1546540615,74
1546540618,74
1546540621,74
1546540624,74
1546540627,74
1546540630,74
1546540633,74
1546540636,74
1546540639,74
1546540642,74
1546540645,74
1546540648,74
1546540651,74
1546540654,74
1546540657,74
1546540660,74
1546540663,74
1546540666,74
1546540669,74
1546540672,80
1546540675,80
1546540678,80
1546540681,80
1546540684,80
1546540687,80
1546540690,80
1546540693,80
1546540696,80
1546540699,80
1546540702,80
1546540705,80
1546540708,80
1546540711,80
1546540714,80
1546540717,80
1546540720,80
1546540723,80
1546540726,80
1546540729,80
1546540732,86
1546540735,86
1546540738,86
1546540741,86
1546540744,86
1546540747,86
1546540750,86
1546540753,86
1546540756,86
1546540759,86
1546540762,86
1546540765,86
1546540768,86
1546540771,86
1546540774,86
1546540777,86
1546540780,86
1546540783,86
1546540786,86
1546540789,86
1546540792,92
1546540795,92
1546540798,92
1546540801,92
1546540804,92
1546540807,92
1546540810,92
1546540813,92
1546540816,92
1546540819,92
1546540822,92
1546540825,92
1546540828,92
1546540831,92
1546540834,92
1546540837,92
1546540840,92
1546540843,92
1546540846,92
1546540849,92
1546540852,98
1546540855,98
1546540858,98
1546540861,98
1546540864,98
1546540867,98
1546540870,98
1546540873,98
1546540876,98
1546540879,98
1546540882,98
1546540885,98
1546540888,98
1546540891,98
1546540894,98
1546540897,98
1546540900,98
1546540903,98
1546540906,98
1546540909,98
1546540912,104
1546540915,104
1546540918,104
1546540921,104
1546540924,104
1546540927,104
1546540930,104
1546540933,104
1546540936,104
1546540939,104
1546540942,104
1546540945,104
1546540948,104
1546540951,104
1546540954,104
1546540957,104
1546540960,104
1546540963,104
1546540966,104
1546540969,104
1546540972,110
1546540975,110
1546540978,110
1546540981,110
t,value
1546541001,44
1546541004,44
1546541007,44
1546541010,44
1546541013,44
1546541016,44
1546541019,44
1546541022,44
1546541025,44
1546541028,44
1546541031,44
1546541034,44
1546541037,44
1546541040,44
1546541043,44
1546541046,44
1546541049,44
1546541052,44
1546541055,44
1546541058,67
1546541061,67
1546541064,67
1546541067,67
1546541070,67
1546541073,67
1546541076,67
1546541079,67
1546541082,67
1546541085,67
1546541088,67
1546541091,67
1546541094,67
1546541097,67
1546541100,67
1546541103,67
1546541106,67
1546541109,67
1546541112,67
1546541115,67
1546541118,90
1546541121,90
1546541124,90
1546541127,90
1546541130,90
1546541133,90
1546541136,90
1546541139,90
1546541142,90
1546541145,90
t,value
1546541166,61
1546541169,61
1546541172,61
1546541175,61
1546541178,61
1546541181,61
1546541184,61
1546541187,61
1546541190,61
1546541193,61
1546541196,61
1546541199,61
1546541202,61
1546541205,61
1546541208,61
1546541211,61
1546541214,61
1546541217,61
1546541220,61
1546541223,84
1546541226,84
1546541229,84
1546541232,84
1546541235,84
1546541238,84
1546541241,84
1546541244,84
1546541247,84
1546541250,84
1546541253,84
1546541256,84
1546541259,84
1546541262,84
1546541265,84
1546541268,84
1546541271,84
1546541274,84
1546541277,84
1546541280,84
1546541283,107
1546541286,107
1546541289,107
1546541292,107
1546541295,107
1546541298,107
1546541301,107
1546541304,107
1546541307,107
1546541310,107
1546541313,107
1546541316,107
1546541319,107
1546541322,107
1546541325,107
1546541328,107
1546541331,107
1546541334,107
1546541337,107
1546541340,107
1546541343,130
1546541346,130
1546541349,130
1546541352,130
1546541355,130
1546541358,130
1546541361,130
1546541364,130
1546541367,130
1546541370,130
1546541373,130
1546541376,130
1546541379,130
1546541382,130
1546541385,130
1546541388,130
1546541391,130
1546541394,130
1546541397,130
1546541400,130
1546541403,153
1546541406,153
1546541409,153
1546541412,153
1546541415,153
1546541418,153
1546541421,153
1546541424,153
1546541427,153
1546541430,153
1546541433,153
1546541436,153
1546541439,153
1546541442,153
1546541445,153
1546541448,153
1546541451,153
1546541454,153
1546541457,153
1546541460,153
1546541463,176
1546541466,176
1546541469,176
1546541472,176
1546541475,176
1546541478,176
1546541481,176
1546541484,176
1546541487,176
1546541490,176
1546541493,176
1546541496,176
1546541499,176
1546541502,176
1546541505,176
1546541508,176
1546541511,176
1546541514,176
1546541517,176
1546541520,176
1546541523,199
1546541526,199
1546541529,199
1546541532,199
1546541535,199
1546541538,199
1546541541,199
1546541544,199
1546541547,199
1546541550,199
1546541553,199
1546541556,199
1546541559,199
1546541562,199
1546541565,199
1546541568,199
1546541571,199
1546541574,199
1546541577,199
1546541580,199
1546541583,222
1546541586,222
1546541589,222
1546541592,222
1546541595,222
1546541598,222
1546541601,222
1546541604,222
1546541607,222
1546541610,222
1546541613,222
1546541616,222
1546541619,222
1546541622,222
1546541625,222
1546541628,222
1546541631,222
1546541634,222
1546541637,222
1546541640,222
1546541643,245
1546541646,245
1546541649,245
1546541652,245
1546541655,245
1546541658,245
1546541661,245
1546541664,245
1546541667,245
1546541670,245
1546541673,245
1546541676,245
1546541679,245
1546541682,245
1546541685,245
1546541688,245
1546541691,245
1546541694,245
1546541697,245
1546541700,245
1546541703,268
1546541706,268
1546541709,268
1546541712,268
1546541715,268
1546541718,268
1546541721,268
1546541724,268
1546541727,268
1546541730,268
1546541733,268
1546541736,268
1546541739,268
1546541742,268
1546541745,268
1546541748,268
1546541751,268
1546541754,268
1546541757,268
1546541760,268
1546541763,291
1546541766,291
1546541769,291
1546541772,291
1546541775,291
1546541778,291
1546541781,291
1546541784,291
1546541787,291
1546541790,291
1546541793,291
1546541796,291
1546541799,291
1546541802,291
1546541805,291
1546541808,291
1546541811,291
1546541814,291
1546541817,291
1546541820,291
1546541823,314
1546541826,314
1546541829,314
1546541832,319
1546541835,329
1546541838,7041
1546541841,7041
1546541844,7041
1546541847,7041
1546541850,7041
1546541853,7041
1546541856,7041
1546541859,7041
1546541862,7041
1546541865,7041
1546541868,7041
1546541871,7041
1546541874,7041
1546541877,7041
1546541880,7041
1546541883,7082
1546541886,7082
1546541889,7082
1546541892,7082
1546541895,7082
1546541898,7082
1546541901,7082
1546541904,7082
1546541907,7082
1546541910,7082
1546541913,7082
1546541916,7082
1546541919,7082
1546541922,7082
1546541925,7082
1546541928,7082
1546541931,7082
1546541934,7082
1546541937,7082
1546541940,7082
1546541943,92226
1546541946,92226
1546541949,92226
1546541952,92226
1546541955,92226
1546541958,92226
1546541961,92226
1546541964,92226
1546541967,92226
1546541970,92226
1546541973,92226
1546541976,92226
1546541979,92226
1546541982,92226
1546541985,92226
1546541988,92226
1546541991,92226
1546541994,92226
1546541997,92226
1546542000,92226
1546542003,92267
1546542006,92267
1546542009,92267
1546542012,92285
1546542015,92285
1546542018,181127
1546542021,181127
1546542024,181127
1546542027,181127
1546542030,181127
1546542033,181127
1546542036,181127
1546542039,181127
1546542042,181127
1546542045,181127
1546542048,181127
1546542051,181127
1546542054,181127
1546542057,181127
1546542060,181127
1546542063,181177
1546542066,181177
1546542069,181177
1546542072,181177
1546542075,181177
1546542078,181177
1546542081,181177
1546542084,181177
1546542087,181177
1546542090,181177
1546542093,181177
1546542096,181177
1546542099,181177
1546542102,181179
1546542105,181179
1546542108,181179
1546542111,181179
1546542114,181179
1546542117,181179
1546542120,181179
1546542123,181232
1546542126,181232
1546542129,181232
1546542132,181232
1546542135,181232
1546542138,181232
1546542141,181232
1546542144,181235
1546542147,181235
1546542150,181235
1546542153,181235
1546542156,181235
1546542159,181235
1546542162,181238
1546542165,181238
1546542168,181238
1546542171,181238
1546542174,181238
1546542177,181238
1546542180,181238
1546542183,181291
1546542186,181291
1546542189,181291
1546542192,181291
1546542195,181291
1546542198,181291
1546542201,181291
1546542204,181294
1546542207,181294
1546542210,181294
1546542213,181294
1546542216,181294
1546542219,181294
1546542222,181297
1546542225,181297
1546542228,181297
1546542231,181297
1546542234,181297
1546542237,181297
1546542240,181297
1546542243,181350
1546542246,181350
1546542249,181350
1546542252,181350
1546542255,181350
1546542258,181350
1546542261,181426
1546542264,181429
1546542267,304102
1546542270,304102
1546542273,358488
1546542276,358488
1546542279,358488
1546542282,358488
1546542285,358488
1546542288,358488
1546542291,358488
1546542294,358488
1546542297,358488
1546542300,358488
1546542303,358662
1546542306,358662
1546542309,358662
1546542312,358662
1546542315,358662
