t,value
1546540195,23
1546540198,23
1546540201,23
1546540204,23
1546540207,23
1546540210,23
1546540213,23
1546540216,23
1546540219,23
1546540222,23
1546540225,23
1546540228,23
1546540231,23
1546540234,23
1546540237,23
1546540240,23
1546540243,23
1546540246,23
1546540249,23
1546540252,23
1546540255,23
1546540258,23
1546540261,23
1546540264,23
1546540267,23
1546540270,23
1546540273,23
1546540276,23
1546540279,23
1546540282,23
1546540285,23
1546540288,23
1546540291,23
1546540294,23
1546540297,23
1546540300,23
1546540303,23
1546540306,23
1546540309,23
1546540312,23
1546540315,23
1546540318,23
1546540321,23
1546540324,23
1546540327,23
1546540330,23
1546540333,23
1546540336,23
1546540339,23
1546540342,23
1546540345,23
1546540348,23
1546540351,23
1546540354,23
1546540357,23
1546540360,23
1546540363,23
1546540366,23
1546540369,23
1546540372,23
1546540375,23
1546540378,23
1546540381,23
1546540384,23
1546540387,23
1546540390,23
1546540393,23
1546540396,23
1546540399,23
1546540402,23
1546540405,23
1546540408,23
1546540411,23
1546540414,23
1546540417,23
1546540420,23
1546540423,23
1546540426,23
1546540429,23
1546540432,23
1546540435,23
1546540438,23
1546540441,23
1546540444,23
1546540447,23
1546540450,23
1546540453,23
1546540456,23
1546540459,23
1546540462,23
1546540465,23
1546540468,23
1546540471,23
1546540474,23
1546540477,23
1546540480,23
1546540483,23
1546540486,23
1546540489,23
1546540492,23
1546540495,23
1546540498,23
1546540501,23
1546540504,23
1546540507,23
1546540510,23
1546540513,23
1546540516,23
1546540519,23
1546540522,23
1546540525,23
1546540528,23
1546540531,23
1546540534,23
1546540537,23
1546540540,23
1546540543,23
1546540546,23
1546540549,23
1546540552,23
1546540555,23
1546540558,23
1546540561,23
1546540564,23
1546540567,23
1546540570,23
1546540573,23
1546540576,23
1546540579,23
1546540582,23
1546540585,23
1546540588,23
1546540591,23
1546540594,23
1546540597,23
1546540600,23
1546540603,23
1546540606,23
1546540609,23
1546540612,23
1546540615,23
1546540618,23
1546540621,23
1546540624,23
1546540627,23
1546540630,23
1546540633,23
1546540636,23
1546540639,23
1546540642,23
1546540645,23
1546540648,23
1546540651,23
1546540654,23
1546540657,23
1546540660,23
1546540663,23
1546540666,23
1546540669,23
1546540672,23
