t,value
1546540195,69
1546540198,69
1546540201,69
1546540204,69
1546540207,69
1546540210,69
1546540213,69
1546540216,69
1546540219,69
1546540222,69
1546540225,69
1546540228,69
1546540231,69
1546540234,69
1546540237,69
1546540240,69
1546540243,69
1546540246,69
1546540249,69
1546540252,89
1546540255,89
1546540258,89
1546540261,89
1546540264,89
1546540267,89
1546540270,89
1546540273,89
1546540276,89
1546540279,89
1546540282,89
1546540285,89
1546540288,89
1546540291,89
1546540294,89
1546540297,89
1546540300,89
1546540303,89
1546540306,89
1546540309,89
1546540312,109
1546540315,109
1546540318,109
1546540321,109
1546540324,109
1546540327,109
1546540330,109
1546540333,109
1546540336,109
1546540339,109
1546540342,109
1546540345,109
1546540348,109
1546540351,109
1546540354,109
1546540357,109
1546540360,109
1546540363,109
1546540366,109
1546540369,109
1546540372,129
1546540375,129
1546540378,129
1546540381,129
1546540384,129
1546540387,129
1546540390,129
1546540393,129
1546540396,129
1546540399,129
1546540402,129
1546540405,129
1546540408,129
1546540411,129
1546540414,129
1546540417,129
1546540420,129
1546540423,129
1546540426,129
1546540429,129
1546540432,149
1546540435,149
1546540438,149
1546540441,149
1546540444,149
1546540447,149
1546540450,149
1546540453,149
1546540456,149
1546540459,149
1546540462,149
1546540465,149
1546540468,149
1546540471,149
1546540474,149
1546540477,149
1546540480,149
1546540483,149
1546540486,149
1546540489,149
1546540492,169
1546540495,169
1546540498,169
1546540501,169
1546540504,169
1546540507,169
1546540510,169
1546540513,169
1546540516,169
1546540519,169
1546540522,169
1546540525,169
1546540528,169
1546540531,169
1546540534,169
1546540537,169
1546540540,169
1546540543,169
1546540546,169
1546540549,169
1546540552,189
1546540555,189
1546540558,189
1546540561,189
1546540564,189
1546540567,189
1546540570,189
1546540573,189
1546540576,189
1546540579,189
1546540582,189
1546540585,189
1546540588,189
1546540591,189
1546540594,189
1546540597,189
1546540600,189
1546540603,189
1546540606,189
1546540609,189
1546540612,209
1546540615,209
1546540618,209
1546540621,209
1546540624,209
1546540627,209
1546540630,209
1546540633,209
1546540636,209
1546540639,209
1546540642,209
1546540645,209
1546540648,209
1546540651,209
1546540654,209
1546540657,209
1546540660,209
1546540663,209
1546540666,209
1546540669,209
1546540672,229
1546540675,229
1546540678,229
1546540681,229
1546540684,229
1546540687,229
1546540690,229
1546540693,229
1546540696,229
1546540699,229
1546540702,229
1546540705,229
1546540708,229
1546540711,229
1546540714,229
1546540717,229
1546540720,229
1546540723,229
1546540726,229
1546540729,229
1546540732,249
1546540735,249
1546540738,249
1546540741,249
1546540744,249
1546540747,249
1546540750,249
1546540753,249
1546540756,249
1546540759,249
1546540762,249
1546540765,249
1546540768,249
1546540771,249
1546540774,249
1546540777,249
1546540780,249
