t,value
1546540195,52
1546540198,52
1546540201,52
1546540204,52
1546540207,52
1546540210,52
1546540213,52
1546540216,52
1546540219,52
1546540222,52
1546540225,52
1546540228,52
1546540231,52
1546540234,52
1546540237,52
1546540240,52
1546540243,52
1546540246,52
1546540249,52
1546540252,58
1546540255,58
1546540258,58
1546540261,58
1546540264,58
1546540267,58
1546540270,58
1546540273,58
1546540276,58
1546540279,58
1546540282,58
1546540285,58
1546540288,58
1546540291,58
1546540294,58
1546540297,58
1546540300,58
1546540303,58
1546540306,58
1546540309,58
1546540312,64
1546540315,64
1546540318,64
1546540321,64
1546540324,64
1546540327,64
1546540330,64
1546540333,64
1546540336,64
1546540339,64
1546540342,64
1546540345,64
1546540348,64
1546540351,64
1546540354,64
1546540357,64
1546540360,64
1546540363,64
1546540366,64
1546540369,64
1546540372,70
1546540375,70
1546540378,70
1546540381,70
1546540384,70
1546540387,70
1546540390,70
1546540393,70
1546540396,70
1546540399,70
1546540402,70
1546540405,70
1546540408,70
1546540411,70
1546540414,70
1546540417,70
1546540420,70
1546540423,70
1546540426,70
1546540429,70
1546540432,76
1546540435,76
1546540438,76
1546540441,76
1546540444,76
1546540447,76
1546540450,76
1546540453,76
1546540456,76
1546540459,76
1546540462,76
1546540465,76
1546540468,76
1546540471,76
1546540474,76
1546540477,76
1546540480,76
1546540483,76
1546540486,76
1546540489,76
1546540492,82
1546540495,82
1546540498,82
1546540501,82
1546540504,82
1546540507,82
1546540510,82
1546540513,82
1546540516,82
1546540519,82
1546540522,82
1546540525,82
1546540528,82
1546540531,82
1546540534,82
1546540537,82
1546540540,82
1546540543,82
1546540546,82
1546540549,82
1546540552,88
1546540555,88
1546540558,88
1546540561,88
1546540564,88
1546540567,88
1546540570,88
1546540573,88
1546540576,88
1546540579,88
1546540582,88
1546540585,88
1546540588,88
1546540591,88
1546540594,88
1546540597,88
1546540600,88
1546540603,88
1546540606,88
1546540609,88
1546540612,94
1546540615,94
1546540618,94
1546540621,94
1546540624,94
1546540627,94
1546540630,94
1546540633,94
1546540636,94
1546540639,94
1546540642,94
1546540645,94
1546540648,94
1546540651,94
1546540654,94
1546540657,94
1546540660,94
1546540663,94
1546540666,94
1546540669,94
1546540672,100
1546540675,100
1546540678,100
1546540681,100
1546540684,100
1546540687,100
1546540690,100
1546540693,100
1546540696,100
1546540699,100
1546540702,100
1546540705,100
1546540708,100
1546540711,100
1546540714,100
1546540717,100
1546540720,100
1546540723,100
1546540726,100
1546540729,100
1546540732,106
1546540735,106
1546540738,106
1546540741,106
1546540744,106
1546540747,106
1546540750,106
1546540753,106
1546540756,106
1546540759,106
1546540762,106
1546540765,106
1546540768,106
1546540771,106
1546540774,106
1546540777,106
1546540780,106
1546540783,106
1546540786,106
1546540789,106
1546540792,112
1546540795,112
1546540798,112
1546540801,112
1546540804,112
1546540807,112
1546540810,112
1546540813,112
1546540816,112
1546540819,112
1546540822,112
1546540825,112
1546540828,112
1546540831,112
1546540834,112
1546540837,112
1546540840,112
1546540843,112
1546540846,112
1546540849,112
1546540852,118
1546540855,118
1546540858,118
1546540861,118
1546540864,118
1546540867,118
1546540870,118
1546540873,118
1546540876,118
1546540879,118
1546540882,118
1546540885,118
1546540888,118
1546540891,118
1546540894,118
1546540897,118
1546540900,118
1546540903,118
1546540906,118
1546540909,118
1546540912,124
1546540915,124
1546540918,124
1546540921,124
1546540924,124
1546540927,124
1546540930,124
1546540933,124
1546540936,124
1546540939,124
1546540942,124
1546540945,124
1546540948,124
1546540951,124
1546540954,124
1546540957,124
1546540960,124
1546540963,124
1546540966,124
1546540969,124
1546540972,130
1546540975,130
1546540978,130
1546540981,130
t,value
1546541001,76
1546541004,76
1546541007,76
1546541010,76
1546541013,76
1546541016,76
1546541019,76
1546541022,76
1546541025,76
1546541028,76
1546541031,76
1546541034,76
1546541037,76
1546541040,76
1546541043,76
1546541046,76
1546541049,76
1546541052,76
1546541055,76
1546541058,99
1546541061,99
1546541064,99
1546541067,99
1546541070,99
1546541073,99
1546541076,99
1546541079,99
1546541082,99
1546541085,99
1546541088,99
1546541091,99
1546541094,99
1546541097,99
1546541100,99
1546541103,99
1546541106,99
1546541109,99
1546541112,99
1546541115,99
1546541118,122
1546541121,122
1546541124,122
1546541127,122
1546541130,122
1546541133,122
1546541136,122
1546541139,122
1546541142,122
1546541145,122
t,value
1546541166,93
1546541169,93
1546541172,93
1546541175,93
1546541178,93
1546541181,93
1546541184,93
1546541187,93
1546541190,93
1546541193,93
1546541196,93
1546541199,93
1546541202,93
1546541205,93
1546541208,93
1546541211,93
1546541214,93
1546541217,93
1546541220,93
1546541223,116
1546541226,116
1546541229,116
1546541232,116
1546541235,116
1546541238,116
1546541241,116
1546541244,116
1546541247,116
1546541250,116
1546541253,116
1546541256,116
1546541259,116
1546541262,116
1546541265,116
1546541268,116
1546541271,116
1546541274,116
1546541277,116
1546541280,116
1546541283,139
1546541286,139
1546541289,139
1546541292,139
1546541295,139
1546541298,139
1546541301,139
1546541304,139
1546541307,139
1546541310,139
1546541313,139
1546541316,139
1546541319,139
1546541322,139
1546541325,139
1546541328,139
1546541331,139
1546541334,139
1546541337,139
1546541340,139
1546541343,162
1546541346,162
1546541349,162
1546541352,162
1546541355,162
1546541358,162
1546541361,162
1546541364,162
1546541367,162
1546541370,162
1546541373,162
1546541376,162
1546541379,162
1546541382,162
1546541385,162
1546541388,162
1546541391,162
1546541394,162
