t,value
1546540195,3.52328431372549E-4
1546540198,3.52328431372549E-4
1546540201,3.52328431372549E-4
1546540204,3.52328431372549E-4
1546540207,3.52328431372549E-4
1546540210,3.52328431372549E-4
1546540213,3.52328431372549E-4
1546540216,3.52328431372549E-4
1546540219,3.52328431372549E-4
1546540222,3.52328431372549E-4
1546540225,3.52328431372549E-4
1546540228,3.52328431372549E-4
1546540231,3.52328431372549E-4
1546540234,3.52328431372549E-4
1546540237,3.52328431372549E-4
1546540240,3.52328431372549E-4
1546540243,3.52328431372549E-4
1546540246,3.52328431372549E-4
1546540249,3.52328431372549E-4
1546540252,3.52328431372549E-4
1546540255,3.52328431372549E-4
1546540258,3.52328431372549E-4
1546540261,3.52328431372549E-4
1546540264,3.52328431372549E-4
1546540267,3.52328431372549E-4
1546540270,3.52328431372549E-4
1546540273,3.52328431372549E-4
1546540276,3.52328431372549E-4
1546540279,3.52328431372549E-4
1546540282,3.52328431372549E-4
1546540285,3.52328431372549E-4
1546540288,3.52328431372549E-4
1546540291,3.52328431372549E-4
1546540294,3.52328431372549E-4
1546540297,3.52328431372549E-4
1546540300,3.52328431372549E-4
1546540303,3.52328431372549E-4
1546540306,3.52328431372549E-4
1546540309,3.52328431372549E-4
1546540312,3.52328431372549E-4
1546540315,3.52328431372549E-4
1546540318,3.52328431372549E-4
1546540321,3.52328431372549E-4
1546540324,3.52328431372549E-4
1546540327,3.52328431372549E-4
1546540330,3.52328431372549E-4
1546540333,3.52328431372549E-4
1546540336,3.52328431372549E-4
1546540339,3.52328431372549E-4
1546540342,3.52328431372549E-4
1546540345,3.52328431372549E-4
1546540348,3.52328431372549E-4
1546540351,3.52328431372549E-4
1546540354,3.52328431372549E-4
1546540357,3.52328431372549E-4
1546540360,3.52328431372549E-4
1546540363,3.52328431372549E-4
1546540366,3.52328431372549E-4
1546540369,3.52328431372549E-4
1546540372,3.52328431372549E-4
1546540375,3.52328431372549E-4
1546540378,3.52328431372549E-4
1546540381,3.52328431372549E-4
1546540384,3.52328431372549E-4
1546540387,3.52328431372549E-4
1546540390,3.52328431372549E-4
1546540393,3.52328431372549E-4
1546540396,3.52328431372549E-4
1546540399,3.52328431372549E-4
1546540402,3.52328431372549E-4
1546540405,3.52328431372549E-4
1546540408,3.52328431372549E-4
1546540411,3.52328431372549E-4
1546540414,3.52328431372549E-4
1546540417,3.52328431372549E-4
1546540420,3.52328431372549E-4
1546540423,3.52328431372549E-4
1546540426,3.52328431372549E-4
1546540429,3.52328431372549E-4
1546540432,3.52328431372549E-4
1546540435,3.52328431372549E-4
1546540438,3.52328431372549E-4
1546540441,3.52328431372549E-4
1546540444,3.52328431372549E-4
1546540447,3.52328431372549E-4
1546540450,3.52328431372549E-4
1546540453,3.52328431372549E-4
1546540456,3.52328431372549E-4
1546540459,3.52328431372549E-4
1546540462,3.52328431372549E-4
1546540465,3.52328431372549E-4
1546540468,3.52328431372549E-4
1546540471,3.52328431372549E-4
1546540474,3.52328431372549E-4
1546540477,3.52328431372549E-4
1546540480,3.52328431372549E-4
1546540483,3.52328431372549E-4
1546540486,3.52328431372549E-4
1546540489,3.52328431372549E-4
1546540492,3.52328431372549E-4
1546540495,3.52328431372549E-4
1546540498,3.52328431372549E-4
1546540501,3.52328431372549E-4
1546540504,3.52328431372549E-4
1546540507,3.52328431372549E-4
1546540510,3.52328431372549E-4
1546540513,3.52328431372549E-4
1546540516,3.52328431372549E-4
1546540519,3.52328431372549E-4
1546540522,3.52328431372549E-4
1546540525,3.52328431372549E-4
1546540528,3.52328431372549E-4
1546540531,3.52328431372549E-4
1546540534,3.52328431372549E-4
1546540537,3.52328431372549E-4
1546540540,3.52328431372549E-4
1546540543,3.52328431372549E-4
1546540546,3.52328431372549E-4
1546540549,3.52328431372549E-4
1546540552,3.52328431372549E-4
1546540555,3.52328431372549E-4
1546540558,3.52328431372549E-4
1546540561,3.52328431372549E-4
1546540564,3.52328431372549E-4
1546540567,3.52328431372549E-4
1546540570,3.52328431372549E-4
1546540573,3.52328431372549E-4
1546540576,3.52328431372549E-4
1546540579,3.52328431372549E-4
1546540582,3.52328431372549E-4
1546540585,3.52328431372549E-4
1546540588,3.52328431372549E-4
1546540591,3.52328431372549E-4
1546540594,3.52328431372549E-4
1546540597,3.52328431372549E-4
1546540600,3.52328431372549E-4
1546540603,3.52328431372549E-4
1546540606,3.52328431372549E-4
1546540609,3.52328431372549E-4
1546540612,3.52328431372549E-4
1546540615,3.52328431372549E-4
1546540618,3.52328431372549E-4
1546540621,3.52328431372549E-4
1546540624,3.52328431372549E-4
1546540627,3.52328431372549E-4
1546540630,3.52328431372549E-4
1546540633,3.52328431372549E-4
1546540636,3.52328431372549E-4
1546540639,3.52328431372549E-4
1546540642,3.52328431372549E-4
1546540645,3.52328431372549E-4
1546540648,3.52328431372549E-4
1546540651,3.52328431372549E-4
1546540654,3.52328431372549E-4
1546540657,3.52328431372549E-4
1546540660,3.52328431372549E-4
1546540663,3.52328431372549E-4
1546540666,3.52328431372549E-4
1546540669,3.52328431372549E-4
1546540672,3.52328431372549E-4
1546540675,3.52328431372549E-4
1546540678,3.52328431372549E-4
1546540681,3.52328431372549E-4
1546540684,3.52328431372549E-4
1546540687,3.52328431372549E-4
1546540690,3.52328431372549E-4
1546540693,3.52328431372549E-4
1546540696,3.52328431372549E-4
1546540699,3.52328431372549E-4
1546540702,3.52328431372549E-4
1546540705,3.52328431372549E-4
1546540708,3.52328431372549E-4
1546540711,3.52328431372549E-4
1546540714,3.52328431372549E-4
1546540717,3.52328431372549E-4
1546540720,3.52328431372549E-4
1546540723,3.52328431372549E-4
1546540726,3.52328431372549E-4
1546540729,3.52328431372549E-4
1546540732,3.52328431372549E-4
1546540735,3.52328431372549E-4
1546540738,3.52328431372549E-4
1546540741,3.52328431372549E-4
1546540744,3.52328431372549E-4
1546540747,3.52328431372549E-4
1546540750,3.52328431372549E-4
1546540753,3.52328431372549E-4
1546540756,3.52328431372549E-4
1546540759,3.52328431372549E-4
1546540762,3.52328431372549E-4
1546540765,3.52328431372549E-4
1546540768,3.52328431372549E-4
1546540771,3.52328431372549E-4
1546540774,3.52328431372549E-4
1546540777,3.52328431372549E-4
1546540780,3.52328431372549E-4
1546540783,3.52328431372549E-4
1546540786,3.52328431372549E-4
1546540789,3.52328431372549E-4
1546540792,3.52328431372549E-4
1546540795,3.52328431372549E-4
1546540798,3.52328431372549E-4
1546540801,3.52328431372549E-4
1546540804,3.52328431372549E-4
1546540807,3.52328431372549E-4
1546540810,3.52328431372549E-4
1546540813,3.52328431372549E-4
1546540816,3.52328431372549E-4
1546540819,3.52328431372549E-4
1546540822,3.52328431372549E-4
1546540825,3.52328431372549E-4
1546540828,3.52328431372549E-4
1546540831,3.52328431372549E-4
1546540834,3.52328431372549E-4
1546540837,3.52328431372549E-4
1546540840,3.52328431372549E-4
1546540843,3.52328431372549E-4
1546540846,3.52328431372549E-4
1546540849,3.52328431372549E-4
1546540852,3.52328431372549E-4
1546540855,3.52328431372549E-4
1546540858,3.52328431372549E-4
1546540861,3.52328431372549E-4
1546540864,3.52328431372549E-4
1546540867,3.52328431372549E-4
1546540870,3.52328431372549E-4
1546540873,3.52328431372549E-4
1546540876,3.52328431372549E-4
1546540879,3.52328431372549E-4
1546540882,3.52328431372549E-4
1546540885,3.52328431372549E-4
1546540888,3.52328431372549E-4
1546540891,3.52328431372549E-4
1546540894,3.52328431372549E-4
1546540897,3.52328431372549E-4
1546540900,3.52328431372549E-4
1546540903,3.52328431372549E-4
1546540906,3.52328431372549E-4
1546540909,3.52328431372549E-4
1546540912,3.52328431372549E-4
1546540915,3.52328431372549E-4
1546540918,3.52328431372549E-4
1546540921,3.52328431372549E-4
1546540924,3.52328431372549E-4
1546540927,3.52328431372549E-4
1546540930,3.52328431372549E-4
1546540933,3.52328431372549E-4
1546540936,3.52328431372549E-4
1546540939,3.52328431372549E-4
1546540942,3.52328431372549E-4
1546540945,3.52328431372549E-4
1546540948,3.52328431372549E-4
1546540951,3.52328431372549E-4
1546540954,3.52328431372549E-4
1546540957,3.52328431372549E-4
1546540960,3.52328431372549E-4
1546540963,3.52328431372549E-4
1546540966,3.52328431372549E-4
1546540969,3.52328431372549E-4
1546540972,3.52328431372549E-4
1546540975,3.52328431372549E-4
1546540978,3.52328431372549E-4
1546540981,3.52328431372549E-4
t,value
1546541001,5.05514705882353E-4
1546541004,5.05514705882353E-4
1546541007,5.05514705882353E-4
1546541010,5.05514705882353E-4
1546541013,5.05514705882353E-4
1546541016,5.05514705882353E-4
1546541019,5.05514705882353E-4
1546541022,5.05514705882353E-4
1546541025,5.05514705882353E-4
1546541028,5.05514705882353E-4
1546541031,5.05514705882353E-4
1546541034,5.05514705882353E-4
1546541037,5.05514705882353E-4
1546541040,5.05514705882353E-4
1546541043,5.05514705882353E-4
1546541046,5.05514705882353E-4
1546541049,5.05514705882353E-4
1546541052,5.05514705882353E-4
1546541055,5.05514705882353E-4
1546541058,5.05514705882353E-4
1546541061,5.05514705882353E-4
1546541064,5.05514705882353E-4
1546541067,5.05514705882353E-4
1546541070,5.05514705882353E-4
1546541073,5.05514705882353E-4
1546541076,5.05514705882353E-4
1546541079,5.05514705882353E-4
1546541082,5.05514705882353E-4
1546541085,5.05514705882353E-4
1546541088,5.05514705882353E-4
1546541091,5.05514705882353E-4
1546541094,5.05514705882353E-4
1546541097,5.05514705882353E-4
1546541100,5.05514705882353E-4
1546541103,5.05514705882353E-4
1546541106,5.05514705882353E-4
1546541109,5.05514705882353E-4
1546541112,5.05514705882353E-4
1546541115,5.05514705882353E-4
1546541118,5.05514705882353E-4
1546541121,5.05514705882353E-4
1546541124,5.05514705882353E-4
1546541127,5.05514705882353E-4
1546541130,5.05514705882353E-4
1546541133,5.05514705882353E-4
1546541136,5.05514705882353E-4
1546541139,5.05514705882353E-4
1546541142,5.05514705882353E-4
1546541145,5.05514705882353E-4
t,value
1546541166,5.05514705882353E-4
1546541169,5.05514705882353E-4
1546541172,5.05514705882353E-4
1546541175,5.05514705882353E-4
1546541178,5.05514705882353E-4
1546541181,5.05514705882353E-4
1546541184,5.05514705882353E-4
1546541187,5.05514705882353E-4
1546541190,5.05514705882353E-4
1546541193,5.05514705882353E-4
1546541196,5.05514705882353E-4
1546541199,5.05514705882353E-4
1546541202,5.05514705882353E-4
1546541205,5.05514705882353E-4
1546541208,5.05514705882353E-4
1546541211,5.05514705882353E-4
1546541214,5.05514705882353E-4
1546541217,5.05514705882353E-4
1546541220,5.05514705882353E-4
1546541223,5.05514705882353E-4
