t,value
1546540195,0
1546540198,1
1546540201,2
1546540204,6
1546540207,6
1546540210,7
1546540213,16
1546540216,16
1546540219,16
1546540222,16
1546540225,16
1546540228,16
1546540231,21
1546540234,21
1546540237,21
1546540240,21
1546540243,21
1546540246,21
1546540249,21
1546540252,26
1546540255,26
1546540258,26
1546540261,26
1546540264,26
1546540267,26
1546540270,26
1546540273,31
1546540276,31
1546540279,31
1546540282,31
1546540285,31
1546540288,31
1546540291,36
1546540294,36
1546540297,36
1546540300,36
1546540303,36
1546540306,36
1546540309,36
1546540312,41
1546540315,41
1546540318,41
1546540321,41
1546540324,41
1546540327,41
1546540330,41
1546540333,46
1546540336,46
1546540339,46
1546540342,46
1546540345,46
1546540348,46
1546540351,51
1546540354,51
1546540357,51
1546540360,51
1546540363,52
1546540366,54
1546540369,56
1546540372,64
1546540375,64
1546540378,64
1546540381,64
1546540384,64
1546540387,64
1546540390,64
1546540393,69
1546540396,69
1546540399,69
1546540402,69
1546540405,69
1546540408,69
1546540411,74
1546540414,74
1546540417,74
1546540420,74
1546540423,74
1546540426,74
1546540429,74
1546540432,79
1546540435,79
1546540438,79
1546540441,79
1546540444,79
1546540447,79
1546540450,79
1546540453,84
1546540456,84
1546540459,84
1546540462,84
1546540465,84
1546540468,84
1546540471,89
1546540474,89
1546540477,89
1546540480,89
1546540483,89
1546540486,89
1546540489,89
1546540492,94
1546540495,94
1546540498,94
1546540501,94
1546540504,94
1546540507,94
1546540510,94
1546540513,99
1546540516,99
1546540519,99
1546540522,99
1546540525,99
1546540528,99
1546540531,104
1546540534,104
1546540537,104
1546540540,104
1546540543,104
1546540546,104
1546540549,104
1546540552,109
1546540555,109
1546540558,109
1546540561,109
1546540564,109
1546540567,109
1546540570,109
1546540573,114
1546540576,114
1546540579,114
1546540582,114
1546540585,114
1546540588,114
1546540591,119
1546540594,119
1546540597,120
1546540600,120
1546540603,120
1546540606,120
1546540609,120
1546540612,125
1546540615,125
1546540618,126
1546540621,127
1546540624,127
1546540627,127
1546540630,128
1546540633,134
1546540636,135
1546540639,136
1546540642,138
1546540645,138
1546540648,138
1546540651,143
1546540654,143
1546540657,146
1546540660,148
1546540663,153
1546540666,153
1546540669,153
1546540672,158
1546540675,158
1546540678,158
1546540681,158
1546540684,158
1546540687,158
1546540690,158
1546540693,163
1546540696,163
1546540699,163
1546540702,165
1546540705,168
1546540708,168
1546540711,174
1546540714,180
1546540717,185
1546540720,185
1546540723,186
1546540726,187
1546540729,190
1546540732,195
1546540735,196
1546540738,199
1546540741,200
1546540744,200
1546540747,202
1546540750,202
1546540753,207
1546540756,207
1546540759,207
1546540762,207
1546540765,207
1546540768,207
1546540771,212
1546540774,212
1546540777,212
1546540780,212
1546540783,212
1546540786,212
1546540789,212
1546540792,217
1546540795,217
1546540798,224
1546540801,224
1546540804,224
1546540807,226
1546540810,227
1546540813,235
1546540816,235
1546540819,235
1546540822,235
1546540825,235
1546540828,235
1546540831,240
1546540834,240
1546540837,240
1546540840,243
