t,value
1546540195,1
1546540198,1
1546540201,1
1546540204,1
1546540207,1
1546540210,1
1546540213,1
1546540216,1
1546540219,1
1546540222,1
1546540225,1
1546540228,1
1546540231,1
1546540234,1
1546540237,1
1546540240,1
1546540243,1
1546540246,1
1546540249,1
1546540252,1
1546540255,1
1546540258,1
1546540261,1
1546540264,1
1546540267,1
1546540270,1
1546540273,1
1546540276,1
1546540279,1
1546540282,1
1546540285,1
1546540288,1
1546540291,1
1546540294,1
1546540297,1
1546540300,1
1546540303,1
1546540306,1
1546540309,1
1546540312,1
1546540315,1
1546540318,1
1546540321,1
1546540324,1
1546540327,1
1546540330,1
1546540333,1
1546540336,1
1546540339,1
1546540342,1
1546540345,1
1546540348,1
1546540351,1
1546540354,1
1546540357,1
1546540360,1
1546540363,1
1546540366,1
1546540369,1
1546540372,1
1546540375,1
1546540378,1
1546540381,1
1546540384,1
1546540387,1
1546540390,1
1546540393,1
1546540396,1
1546540399,1
1546540402,1
1546540405,1
1546540408,1
1546540411,1
1546540414,1
1546540417,1
1546540420,1
1546540423,1
1546540426,1
1546540429,1
1546540432,1
1546540435,1
1546540438,1
1546540441,1
1546540444,1
1546540447,1
1546540450,1
1546540453,1
1546540456,1
1546540459,1
1546540462,1
1546540465,1
1546540468,1
1546540471,1
1546540474,1
1546540477,1
1546540480,1
1546540483,1
1546540486,1
1546540489,1
1546540492,1
1546540495,1
1546540498,1
1546540501,1
1546540504,1
1546540507,1
1546540510,1
1546540513,1
1546540516,1
1546540519,1
1546540522,1
1546540525,1
1546540528,1
1546540531,1
1546540534,1
1546540537,1
1546540540,1
1546540543,1
1546540546,1
1546540549,1
1546540552,1
1546540555,1
1546540558,1
1546540561,1
1546540564,1
1546540567,1
1546540570,1
1546540573,1
1546540576,1
1546540579,1
1546540582,1
1546540585,1
1546540588,1
1546540591,1
1546540594,1
1546540597,1
1546540600,1
1546540603,1
1546540606,1
1546540609,1
1546540612,1
1546540615,1
1546540618,1
1546540621,1
1546540624,1
1546540627,1
1546540630,1
1546540633,1
1546540636,1
1546540639,1
1546540642,1
1546540645,1
1546540648,1
1546540651,1
1546540654,1
1546540657,1
1546540660,1
1546540663,1
1546540666,1
1546540669,1
1546540672,1
1546540675,1
1546540678,1
1546540681,1
1546540684,1
1546540687,1
1546540690,1
1546540693,1
1546540696,1
1546540699,1
1546540702,1
1546540705,1
1546540708,1
1546540711,1
1546540714,1
1546540717,1
1546540720,1
1546540723,1
1546540726,1
1546540729,1
1546540732,1
1546540735,1
1546540738,1
1546540741,1
1546540744,1
1546540747,1
1546540750,1
1546540753,1
1546540756,1
1546540759,1
1546540762,1
1546540765,1
1546540768,1
1546540771,1
1546540774,1
1546540777,1
1546540780,1
1546540783,1
1546540786,1
1546540789,1
1546540792,1
1546540795,1
1546540798,1
1546540801,1
1546540804,1
1546540807,1
1546540810,1
1546540813,1
1546540816,1
1546540819,1
1546540822,1
1546540825,1
1546540828,1
1546540831,1
1546540834,1
1546540837,1
1546540840,1
1546540843,1
1546540846,1
1546540849,1
1546540852,1
1546540855,1
1546540858,1
1546540861,1
1546540864,1
1546540867,1
1546540870,1
1546540873,1
1546540876,1
1546540879,1
1546540882,1
1546540885,1
1546540888,1
1546540891,1
1546540894,1
1546540897,1
1546540900,1
1546540903,1
1546540906,1
1546540909,1
1546540912,1
1546540915,1
1546540918,1
1546540921,1
1546540924,1
1546540927,1
1546540930,1
1546540933,1
1546540936,1
1546540939,1
1546540942,1
1546540945,1
1546540948,1
1546540951,1
1546540954,1
1546540957,1
1546540960,1
1546540963,1
1546540966,1
1546540969,1
1546540972,1
1546540975,1
1546540978,1
1546540981,1
t,value
1546541001,1
1546541004,1
1546541007,1
1546541010,1
1546541013,1
1546541016,1
1546541019,1
1546541022,1
1546541025,1
1546541028,1
1546541031,1
1546541034,1
1546541037,1
1546541040,1
1546541043,1
1546541046,1
1546541049,1
1546541052,1
1546541055,1
1546541058,1
1546541061,1
1546541064,1
1546541067,1
1546541070,1
1546541073,1
1546541076,1
1546541079,1
1546541082,1
1546541085,1
1546541088,1
1546541091,1
1546541094,1
1546541097,1
1546541100,1
1546541103,1
1546541106,1
1546541109,1
1546541112,1
1546541115,1
1546541118,1
1546541121,1
1546541124,1
1546541127,1
1546541130,1
1546541133,1
1546541136,1
1546541139,1
1546541142,1
1546541145,1
t,value
1546541166,1
1546541169,1
1546541172,1
1546541175,1
1546541178,1
1546541181,1
1546541184,1
1546541187,1
1546541190,1
1546541193,1
1546541196,1
1546541199,1
1546541202,1
1546541205,1
1546541208,1
1546541211,1
1546541214,1
1546541217,1
1546541220,1
1546541223,1
1546541226,1
1546541229,1
1546541232,1
1546541235,1
1546541238,1
1546541241,1
1546541244,1
1546541247,1
1546541250,1
1546541253,1
1546541256,1
1546541259,1
1546541262,1
1546541265,1
1546541268,1
1546541271,1
1546541274,1
1546541277,1
1546541280,1
1546541283,1
1546541286,1
1546541289,1
1546541292,1
1546541295,1
1546541298,1
1546541301,1
1546541304,1
1546541307,1
1546541310,1
1546541313,1
1546541316,1
1546541319,1
1546541322,1
1546541325,1
1546541328,1
1546541331,1
1546541334,1
1546541337,1
1546541340,1
1546541343,1
1546541346,1
1546541349,1
1546541352,1
1546541355,1
1546541358,1
1546541361,1
1546541364,1
1546541367,1
1546541370,1
1546541373,1
1546541376,1
1546541379,1
1546541382,1
1546541385,1
1546541388,1
1546541391,1
1546541394,1
1546541397,1
1546541400,1
1546541403,1
1546541406,1
1546541409,1
1546541412,1
1546541415,1
1546541418,1
1546541421,1
1546541424,1
1546541427,1
1546541430,1
1546541433,1
1546541436,1
1546541439,1
1546541442,1
1546541445,1
1546541448,1
1546541451,1
1546541454,1
1546541457,1
1546541460,1
1546541463,1
1546541466,1
1546541469,1
1546541472,1
1546541475,1
1546541478,1
1546541481,1
1546541484,1
1546541487,1
1546541490,1
1546541493,1
1546541496,1
1546541499,1
1546541502,1
1546541505,1
1546541508,1
1546541511,1
1546541514,1
1546541517,1
1546541520,1
1546541523,1
1546541526,1
1546541529,1
1546541532,1
1546541535,1
1546541538,1
1546541541,1
1546541544,1
1546541547,1
1546541550,1
1546541553,1
1546541556,1
1546541559,1
1546541562,1
1546541565,1
1546541568,1
1546541571,1
1546541574,1
1546541577,1
1546541580,1
1546541583,1
1546541586,1
1546541589,1
1546541592,1
1546541595,1
1546541598,1
1546541601,1
1546541604,1
1546541607,1
1546541610,1
1546541613,1
1546541616,1
1546541619,1
1546541622,1
1546541625,1
1546541628,1
1546541631,1
1546541634,1
1546541637,1
1546541640,1
1546541643,1
1546541646,1
1546541649,1
1546541652,1
1546541655,1
1546541658,1
1546541661,1
1546541664,1
1546541667,1
1546541670,1
1546541673,1
1546541676,1
1546541679,1
1546541682,1
1546541685,1
1546541688,1
1546541691,1
1546541694,1
1546541697,1
1546541700,1
1546541703,1
1546541706,1
1546541709,1
1546541712,1
1546541715,1
1546541718,1
1546541721,1
1546541724,1
1546541727,1
1546541730,1
1546541733,1
1546541736,1
1546541739,1
1546541742,1
1546541745,1
1546541748,1
1546541751,1
1546541754,1
1546541757,1
1546541760,1
1546541763,1
1546541766,1
1546541769,1
1546541772,1
1546541775,1
1546541778,1
1546541781,1
1546541784,1
1546541787,1
1546541790,1
1546541793,1
1546541796,1
1546541799,1
1546541802,1
1546541805,1
1546541808,1
1546541811,1
1546541814,1
1546541817,1
1546541820,1
1546541823,1
1546541826,1
1546541829,1
1546541832,3
1546541835,4
1546541838,5
1546541841,5
1546541844,5
1546541847,5
1546541850,5
1546541853,5
1546541856,5
1546541859,5
1546541862,5
1546541865,5
1546541868,5
1546541871,5
1546541874,5
1546541877,5
1546541880,5
1546541883,5
1546541886,5
1546541889,5
1546541892,5
1546541895,5
1546541898,5
1546541901,5
1546541904,5
1546541907,5
1546541910,5
1546541913,5
1546541916,5
1546541919,5
1546541922,5
1546541925,5
1546541928,5
1546541931,5
1546541934,5
1546541937,5
1546541940,5
1546541943,5
1546541946,5
1546541949,5
1546541952,5
1546541955,5
1546541958,5
1546541961,5
1546541964,5
1546541967,5
1546541970,5
1546541973,5
1546541976,5
1546541979,5
1546541982,5
1546541985,5
1546541988,5
1546541991,5
1546541994,5
1546541997,5
1546542000,5
1546542003,5
1546542006,5
1546542009,5
1546542012,8
1546542015,8
1546542018,9
1546542021,9
1546542024,9
1546542027,9
1546542030,9
1546542033,9
1546542036,9
1546542039,9
1546542042,9
1546542045,9
1546542048,9
1546542051,9
1546542054,9
1546542057,9
1546542060,9
1546542063,9
1546542066,9
1546542069,9
1546542072,9
1546542075,9
1546542078,9
1546542081,9
1546542084,9
1546542087,9
1546542090,9
1546542093,9
1546542096,9
1546542099,9
1546542102,9
1546542105,9
1546542108,9
1546542111,9
1546542114,9
1546542117,9
1546542120,9
1546542123,9
1546542126,9
1546542129,9
1546542132,9
1546542135,9
1546542138,9
1546542141,9
1546542144,9
1546542147,9
1546542150,9
1546542153,9
1546542156,9
1546542159,9
1546542162,9
1546542165,9
1546542168,9
1546542171,9
1546542174,9
1546542177,9
1546542180,9
1546542183,9
1546542186,9
1546542189,9
1546542192,9
1546542195,9
1546542198,9
1546542201,9
1546542204,9
1546542207,9
1546542210,9
1546542213,9
1546542216,9
1546542219,9
1546542222,9
1546542225,9
1546542228,9
1546542231,9
1546542234,9
1546542237,9
1546542240,9
1546542243,9
1546542246,9
1546542249,9
1546542252,9
1546542255,9
1546542258,9
1546542261,9
1546542264,9
1546542267,12
1546542270,12
1546542273,13
1546542276,13
1546542279,13
1546542282,13
1546542285,13
1546542288,13
1546542291,13
1546542294,13
1546542297,13
1546542300,13
1546542303,13
1546542306,13
1546542309,13
1546542312,13
1546542315,13
1546542318,13
1546542321,13
1546542324,13
1546542327,13
1546542330,13
1546542333,13
1546542336,13
1546542339,13
1546542342,13
1546542345,13
1546542348,13
1546542351,13
1546542354,13
1546542357,13
1546542360,13
1546542363,13
1546542366,13
1546542369,13
1546542372,13
1546542375,13
1546542378,13
1546542381,13
1546542384,13
1546542387,13
1546542390,13
1546542393,13
1546542396,13
1546542399,13
1546542402,13
1546542405,13
1546542408,13
1546542411,13
1546542414,13
1546542417,13
1546542420,13
1546542423,14
1546542426,14
1546542429,14
1546542432,14
1546542435,14
1546542438,14
1546542441,14
1546542444,14
1546542447,14
1546542450,15
1546542453,15
1546542456,15
1546542459,15
1546542462,15
1546542465,15
1546542468,15
1546542471,15
1546542474,15
1546542477,15
1546542480,15
1546542483,15
1546542486,15
1546542489,15
1546542492,15
1546542495,15
1546542498,15
1546542501,15
1546542504,15
1546542507,15
1546542510,15
1546542513,15
1546542516,15
1546542519,15
1546542522,15
1546542525,15
1546542528,15
1546542531,15
1546542534,15
1546542537,15
1546542540,15
1546542543,15
1546542546,15
1546542549,15
1546542552,15
1546542555,15
1546542558,15
1546542561,15
1546542564,15
1546542567,15
1546542570,15
1546542573,15
1546542576,15
1546542579,15
1546542582,15
1546542585,15
1546542588,15
1546542591,15
1546542594,15
1546542597,15
1546542600,15
1546542603,15
1546542606,15
1546542609,15
1546542612,15
1546542615,15
1546542618,15
1546542621,15
1546542624,15
1546542627,15
1546542630,15
1546542633,15
1546542636,15
1546542639,16
1546542642,16
1546542645,16
1546542648,16
1546542651,16
1546542654,16
1546542657,16
1546542660,16
1546542663,16
1546542666,16
1546542669,16
1546542672,16
1546542675,16
1546542678,16
1546542681,16
1546542684,16
1546542687,16
1546542690,16
1546542693,16
1546542696,16
1546542699,16
1546542702,16
1546542705,16
1546542708,16
1546542711,16
1546542714,16
1546542717,16
1546542720,16
1546542723,16
1546542726,16
1546542729,16
1546542732,16
1546542735,16
1546542738,16
1546542741,16
1546542744,16
1546542747,16
1546542750,16
1546542753,16
1546542756,16
1546542759,16
1546542762,16
1546542765,16
1546542768,16
1546542771,16
1546542774,16
1546542777,16
1546542780,16
1546542783,16
1546542786,16
1546542789,16
1546542792,16
1546542795,16
1546542798,16
1546542801,16
1546542804,16
1546542807,16
1546542810,16
1546542813,16
1546542816,16
1546542819,16
1546542822,16
1546542825,16
1546542828,16
1546542831,16
1546542834,16
1546542837,16
