t,value
1546540195,1
1546540198,1
1546540201,1
1546540204,1
1546540207,1
1546540210,1
1546540213,2
1546540216,2
1546540219,2
1546540222,2
1546540225,2
1546540228,2
1546540231,2
1546540234,2
1546540237,2
1546540240,2
1546540243,2
1546540246,2
1546540249,2
1546540252,2
1546540255,2
1546540258,2
1546540261,2
1546540264,2
1546540267,2
1546540270,2
1546540273,2
1546540276,2
1546540279,2
1546540282,2
1546540285,2
1546540288,2
1546540291,2
1546540294,2
1546540297,2
1546540300,2
1546540303,2
1546540306,2
1546540309,2
1546540312,2
1546540315,2
1546540318,2
1546540321,2
1546540324,2
1546540327,2
1546540330,2
1546540333,2
1546540336,2
1546540339,2
1546540342,2
1546540345,2
1546540348,2
1546540351,2
1546540354,2
1546540357,2
1546540360,2
1546540363,2
1546540366,2
1546540369,2
1546540372,2
1546540375,2
1546540378,2
1546540381,2
1546540384,2
1546540387,2
1546540390,2
1546540393,2
1546540396,2
1546540399,2
1546540402,2
1546540405,2
1546540408,2
1546540411,2
1546540414,2
1546540417,2
1546540420,2
1546540423,2
1546540426,2
1546540429,2
1546540432,2
1546540435,2
1546540438,2
1546540441,2
1546540444,2
1546540447,2
1546540450,2
1546540453,2
1546540456,2
1546540459,2
1546540462,2
1546540465,2
1546540468,2
1546540471,2
1546540474,2
1546540477,2
1546540480,2
1546540483,2
1546540486,2
1546540489,2
1546540492,2
1546540495,2
1546540498,2
1546540501,2
1546540504,2
1546540507,2
1546540510,2
1546540513,2
1546540516,2
1546540519,2
1546540522,2
1546540525,2
1546540528,2
1546540531,2
1546540534,2
1546540537,2
1546540540,2
1546540543,2
1546540546,2
1546540549,2
1546540552,2
1546540555,2
1546540558,2
1546540561,2
1546540564,2
1546540567,2
1546540570,2
1546540573,2
1546540576,2
1546540579,2
1546540582,2
1546540585,2
1546540588,2
1546540591,2
1546540594,2
1546540597,2
1546540600,2
1546540603,2
1546540606,2
1546540609,2
1546540612,2
1546540615,2
1546540618,2
1546540621,2
1546540624,2
1546540627,2
1546540630,2
1546540633,2
1546540636,2
1546540639,2
1546540642,2
1546540645,2
1546540648,2
1546540651,2
1546540654,2
1546540657,2
1546540660,2
1546540663,2
1546540666,2
1546540669,2
1546540672,2
1546540675,2
1546540678,2
1546540681,2
1546540684,2
1546540687,2
1546540690,2
1546540693,2
1546540696,2
1546540699,2
1546540702,2
1546540705,2
1546540708,2
1546540711,2
1546540714,2
1546540717,2
1546540720,2
1546540723,2
1546540726,2
1546540729,2
1546540732,2
1546540735,2
1546540738,2
1546540741,2
1546540744,2
1546540747,2
1546540750,2
1546540753,2
1546540756,2
1546540759,2
1546540762,2
1546540765,2
1546540768,2
1546540771,2
1546540774,2
1546540777,2
1546540780,2
1546540783,2
1546540786,2
1546540789,2
1546540792,2
1546540795,2
1546540798,2
1546540801,2
1546540804,2
1546540807,2
1546540810,2
1546540813,2
1546540816,2
1546540819,2
1546540822,2
1546540825,2
1546540828,2
1546540831,2
1546540834,2
1546540837,2
1546540840,2
1546540843,2
1546540846,2
1546540849,2
1546540852,2
1546540855,2
1546540858,2
1546540861,2
1546540864,2
1546540867,2
1546540870,2
1546540873,2
1546540876,2
1546540879,2
1546540882,2
1546540885,2
1546540888,2
1546540891,2
1546540894,2
1546540897,2
1546540900,2
1546540903,2
1546540906,2
1546540909,2
1546540912,2
1546540915,2
1546540918,2
1546540921,2
1546540924,2
1546540927,2
1546540930,2
1546540933,2
1546540936,2
1546540939,2
1546540942,2
1546540945,2
1546540948,2
1546540951,2
1546540954,2
1546540957,2
1546540960,2
1546540963,2
1546540966,2
1546540969,2
1546540972,2
1546540975,2
1546540978,2
1546540981,2
t,value
1546541001,1
1546541004,1
1546541007,1
1546541010,1
1546541013,1
1546541016,1
1546541019,1
1546541022,1
1546541025,1
1546541028,1
1546541031,1
1546541034,1
1546541037,1
1546541040,1
1546541043,1
1546541046,1
1546541049,1
1546541052,1
1546541055,3
1546541058,3
1546541061,3
1546541064,3
1546541067,3
1546541070,3
1546541073,3
1546541076,3
1546541079,3
1546541082,3
1546541085,3
1546541088,3
1546541091,3
1546541094,3
1546541097,3
1546541100,3
1546541103,3
1546541106,3
1546541109,3
1546541112,3
1546541115,3
1546541118,3
1546541121,3
1546541124,3
1546541127,3
1546541130,3
1546541133,3
1546541136,3
1546541139,3
1546541142,3
1546541145,3
t,value
1546541166,1
1546541169,1
1546541172,1
1546541175,1
1546541178,1
1546541181,4
1546541184,4
1546541187,4
1546541190,4
1546541193,4
1546541196,4
1546541199,4
1546541202,4
1546541205,4
1546541208,4
1546541211,4
1546541214,4
1546541217,4
1546541220,4
1546541223,4
1546541226,4
1546541229,4
1546541232,4
1546541235,4
1546541238,4
1546541241,4
1546541244,4
1546541247,4
1546541250,4
1546541253,4
1546541256,4
1546541259,4
1546541262,4
1546541265,4
1546541268,4
1546541271,4
1546541274,4
1546541277,4
1546541280,4
1546541283,4
1546541286,4
1546541289,4
1546541292,4
1546541295,4
1546541298,4
1546541301,4
1546541304,4
1546541307,4
1546541310,4
1546541313,4
1546541316,4
1546541319,4
1546541322,4
1546541325,4
1546541328,4
1546541331,4
1546541334,4
1546541337,4
1546541340,4
1546541343,4
1546541346,4
1546541349,4
1546541352,4
1546541355,4
1546541358,4
1546541361,4
1546541364,4
1546541367,4
1546541370,4
1546541373,4
1546541376,4
1546541379,4
1546541382,4
1546541385,4
1546541388,4
1546541391,4
1546541394,4
1546541397,4
1546541400,4
1546541403,4
1546541406,4
1546541409,4
1546541412,4
1546541415,4
1546541418,4
1546541421,4
1546541424,4
1546541427,4
1546541430,4
1546541433,4
1546541436,4
1546541439,4
1546541442,4
1546541445,4
1546541448,4
1546541451,4
1546541454,4
1546541457,4
1546541460,4
1546541463,4
1546541466,4
1546541469,4
1546541472,4
1546541475,4
1546541478,4
1546541481,4
1546541484,4
1546541487,4
1546541490,4
1546541493,4
1546541496,4
1546541499,4
1546541502,4
1546541505,4
1546541508,4
1546541511,4
1546541514,4
1546541517,4
1546541520,4
1546541523,4
1546541526,4
1546541529,4
1546541532,4
1546541535,4
1546541538,4
1546541541,4
1546541544,4
1546541547,4
1546541550,4
1546541553,4
1546541556,4
1546541559,4
1546541562,4
1546541565,4
1546541568,4
1546541571,4
1546541574,4
1546541577,4
1546541580,4
1546541583,4
1546541586,4
1546541589,4
1546541592,4
1546541595,4
1546541598,4
1546541601,4
1546541604,4
1546541607,4
1546541610,4
1546541613,4
1546541616,4
1546541619,4
1546541622,4
1546541625,4
1546541628,4
1546541631,4
1546541634,4
1546541637,4
1546541640,4
1546541643,4
1546541646,4
1546541649,4
1546541652,4
1546541655,4
1546541658,4
1546541661,4
1546541664,4
1546541667,4
1546541670,4
1546541673,4
1546541676,4
1546541679,4
1546541682,4
1546541685,4
1546541688,4
1546541691,4
1546541694,4
1546541697,4
1546541700,4
1546541703,4
1546541706,4
1546541709,4
1546541712,4
1546541715,4
1546541718,4
1546541721,4
1546541724,4
1546541727,4
1546541730,4
1546541733,4
1546541736,4
1546541739,4
1546541742,4
1546541745,4
1546541748,4
1546541751,4
1546541754,4
1546541757,4
1546541760,4
1546541763,4
1546541766,4
1546541769,4
1546541772,4
1546541775,4
1546541778,4
1546541781,4
1546541784,4
1546541787,4
1546541790,4
1546541793,4
1546541796,4
1546541799,4
1546541802,4
1546541805,4
1546541808,4
1546541811,4
1546541814,4
1546541817,4
1546541820,4
1546541823,4
1546541826,4
1546541829,4
1546541832,4
1546541835,4
1546541838,4
1546541841,4
1546541844,4
1546541847,4
1546541850,4
1546541853,4
1546541856,4
1546541859,4
1546541862,4
1546541865,4
1546541868,4
1546541871,4
1546541874,4
1546541877,4
1546541880,4
1546541883,4
1546541886,4
1546541889,4
1546541892,4
1546541895,4
1546541898,4
1546541901,4
1546541904,4
1546541907,4
1546541910,4
1546541913,4
1546541916,4
1546541919,4
1546541922,4
1546541925,4
1546541928,4
1546541931,4
1546541934,4
1546541937,4
1546541940,4
1546541943,4
1546541946,4
1546541949,4
1546541952,4
1546541955,4
1546541958,4
1546541961,4
1546541964,4
1546541967,4
1546541970,4
1546541973,4
1546541976,4
1546541979,4
1546541982,4
1546541985,4
1546541988,4
1546541991,4
1546541994,4
1546541997,4
1546542000,4
1546542003,4
1546542006,4
1546542009,4
1546542012,4
1546542015,4
1546542018,4
1546542021,4
1546542024,4
1546542027,4
1546542030,4
1546542033,4
1546542036,4
1546542039,4
1546542042,4
1546542045,4
1546542048,4
1546542051,4
1546542054,4
1546542057,4
1546542060,4
1546542063,4
1546542066,4
1546542069,4
1546542072,4
1546542075,4
1546542078,4
1546542081,4
1546542084,4
1546542087,4
1546542090,4
1546542093,4
1546542096,4
1546542099,4
1546542102,4
1546542105,4
1546542108,4
1546542111,4
1546542114,4
1546542117,4
1546542120,4
1546542123,4
1546542126,4
1546542129,4
1546542132,4
1546542135,4
1546542138,4
1546542141,4
1546542144,4
1546542147,4
1546542150,4
1546542153,4
1546542156,4
1546542159,4
1546542162,4
1546542165,4
1546542168,4
1546542171,4
1546542174,4
1546542177,4
1546542180,4
1546542183,4
1546542186,4
1546542189,4
1546542192,4
1546542195,4
1546542198,4
1546542201,4
1546542204,4
1546542207,4
1546542210,4
1546542213,4
1546542216,4
1546542219,4
1546542222,4
1546542225,4
1546542228,4
1546542231,4
1546542234,4
1546542237,4
1546542240,4
1546542243,4
1546542246,4
1546542249,4
1546542252,4
1546542255,4
1546542258,4
1546542261,4
1546542264,4
1546542267,4
1546542270,4
1546542273,4
1546542276,4
1546542279,4
1546542282,4
1546542285,4
1546542288,4
1546542291,4
1546542294,4
1546542297,4
1546542300,4
1546542303,4
1546542306,4
1546542309,4
1546542312,4
1546542315,4
1546542318,4
1546542321,4
1546542324,4
1546542327,4
1546542330,4
1546542333,4
1546542336,4
1546542339,4
1546542342,4
1546542345,4
1546542348,4
1546542351,4
1546542354,4
1546542357,4
1546542360,4
1546542363,4
1546542366,4
1546542369,4
1546542372,4
1546542375,4
1546542378,4
1546542381,4
1546542384,4
1546542387,4
1546542390,4
1546542393,4
1546542396,4
1546542399,4
1546542402,4
1546542405,4
1546542408,4
1546542411,4
1546542414,4
1546542417,4
1546542420,4
1546542423,4
1546542426,4
1546542429,4
1546542432,4
1546542435,4
1546542438,4
1546542441,4
1546542444,4
1546542447,4
1546542450,4
1546542453,4
1546542456,4
1546542459,4
1546542462,4
1546542465,4
1546542468,4
1546542471,4
1546542474,4
1546542477,4
1546542480,4
1546542483,4
1546542486,4
1546542489,4
1546542492,4
1546542495,4
1546542498,4
1546542501,4
1546542504,4
1546542507,4
1546542510,4
1546542513,4
1546542516,4
1546542519,4
1546542522,4
1546542525,4
1546542528,4
1546542531,4
1546542534,4
1546542537,4
1546542540,4
1546542543,4
1546542546,4
1546542549,4
1546542552,4
1546542555,4
1546542558,4
1546542561,4
1546542564,4
1546542567,4
1546542570,4
1546542573,4
1546542576,4
1546542579,4
1546542582,4
1546542585,4
1546542588,4
1546542591,4
1546542594,4
1546542597,4
1546542600,4
1546542603,4
1546542606,4
1546542609,4
1546542612,4
1546542615,4
1546542618,4
1546542621,4
1546542624,4
1546542627,4
1546542630,4
1546542633,4
1546542636,4
1546542639,4
1546542642,4
1546542645,4
1546542648,4
1546542651,4
1546542654,4
1546542657,4
1546542660,4
1546542663,4
1546542666,4
1546542669,4
1546542672,4
1546542675,4
1546542678,4
1546542681,4
1546542684,4
1546542687,4
1546542690,4
1546542693,4
1546542696,4
1546542699,4
1546542702,4
1546542705,4
1546542708,4
1546542711,4
1546542714,4
1546542717,4
1546542720,4
1546542723,4
1546542726,4
1546542729,4
1546542732,4
1546542735,4
1546542738,4
1546542741,4
1546542744,4
1546542747,4
1546542750,4
1546542753,4
1546542756,4
1546542759,4
1546542762,4
1546542765,4
1546542768,4
1546542771,4
1546542774,4
1546542777,4
1546542780,4
1546542783,4
1546542786,4
1546542789,4
1546542792,4
1546542795,4
1546542798,4
1546542801,4
1546542804,4
1546542807,4
1546542810,4
1546542813,4
1546542816,4
1546542819,4
1546542822,4
1546542825,4
1546542828,4
1546542831,4
1546542834,4
1546542837,4
