t,value
1546540195,0
1546540198,0
1546540201,0
1546540204,0
1546540207,0
1546540210,0
1546540213,1
1546540216,1
1546540219,1
1546540222,1
1546540225,1
1546540228,1
1546540231,2
1546540234,2
1546540237,2
1546540240,2
1546540243,2
1546540246,2
1546540249,2
1546540252,3
1546540255,3
1546540258,3
1546540261,3
1546540264,3
1546540267,3
1546540270,3
1546540273,4
1546540276,4
1546540279,4
1546540282,4
1546540285,4
1546540288,4
1546540291,5
1546540294,5
1546540297,5
1546540300,5
1546540303,5
1546540306,5
1546540309,5
1546540312,6
1546540315,6
1546540318,6
1546540321,6
1546540324,6
1546540327,6
1546540330,6
1546540333,7
1546540336,7
1546540339,7
1546540342,7
1546540345,7
1546540348,7
1546540351,8
1546540354,8
1546540357,8
1546540360,8
1546540363,9
1546540366,11
1546540369,13
1546540372,17
1546540375,17
1546540378,17
1546540381,17
1546540384,17
1546540387,17
1546540390,17
1546540393,18
1546540396,18
1546540399,18
1546540402,18
1546540405,18
1546540408,18
1546540411,19
1546540414,19
1546540417,19
1546540420,19
1546540423,19
1546540426,19
1546540429,19
1546540432,20
1546540435,20
1546540438,20
1546540441,20
1546540444,20
1546540447,20
1546540450,20
1546540453,21
1546540456,21
1546540459,21
1546540462,21
1546540465,21
1546540468,21
1546540471,22
1546540474,22
1546540477,22
1546540480,22
1546540483,22
1546540486,22
1546540489,22
1546540492,23
1546540495,23
1546540498,23
1546540501,23
1546540504,23
1546540507,23
1546540510,23
1546540513,24
1546540516,24
1546540519,24
1546540522,24
1546540525,24
1546540528,24
1546540531,25
1546540534,25
1546540537,25
1546540540,25
1546540543,25
1546540546,25
1546540549,25
1546540552,26
1546540555,26
1546540558,26
1546540561,26
1546540564,26
1546540567,26
1546540570,26
1546540573,27
1546540576,27
1546540579,27
1546540582,27
1546540585,27
1546540588,27
1546540591,28
1546540594,28
1546540597,29
1546540600,29
1546540603,29
1546540606,29
1546540609,29
1546540612,30
1546540615,30
1546540618,31
1546540621,32
1546540624,32
1546540627,32
1546540630,33
1546540633,35
1546540636,36
1546540639,37
1546540642,39
1546540645,39
1546540648,39
1546540651,40
1546540654,40
1546540657,43
1546540660,45
1546540663,46
1546540666,46
1546540669,46
1546540672,47
1546540675,47
1546540678,47
1546540681,47
1546540684,47
1546540687,47
1546540690,47
1546540693,48
1546540696,48
1546540699,48
1546540702,48
1546540705,51
1546540708,51
1546540711,53
1546540714,53
1546540717,54
1546540720,54
1546540723,55
1546540726,56
1546540729,59
1546540732,60
1546540735,61
1546540738,62
1546540741,63
1546540744,63
1546540747,63
1546540750,63
1546540753,64
1546540756,64
1546540759,64
1546540762,64
1546540765,64
1546540768,64
1546540771,65
1546540774,65
1546540777,65
1546540780,65
