t,value
1546540195,1
1546540198,1
1546540201,3
1546540204,6
1546540207,6
1546540210,7
1546540213,17
1546540216,17
1546540219,17
1546540222,17
1546540225,17
1546540228,17
1546540231,23
1546540234,23
1546540237,23
1546540240,23
1546540243,23
1546540246,23
1546540249,23
1546540252,29
1546540255,29
1546540258,29
1546540261,29
1546540264,29
1546540267,29
1546540270,29
1546540273,35
1546540276,35
1546540279,35
1546540282,35
1546540285,35
1546540288,35
1546540291,41
1546540294,41
1546540297,41
1546540300,41
1546540303,41
1546540306,41
1546540309,41
1546540312,47
1546540315,47
1546540318,47
1546540321,47
1546540324,47
1546540327,47
1546540330,47
1546540333,53
1546540336,53
1546540339,53
1546540342,53
1546540345,53
1546540348,53
1546540351,59
1546540354,59
1546540357,59
1546540360,59
1546540363,61
1546540366,65
1546540369,69
1546540372,81
1546540375,81
1546540378,81
1546540381,81
1546540384,81
1546540387,81
1546540390,81
1546540393,87
1546540396,87
1546540399,87
1546540402,87
1546540405,87
1546540408,87
1546540411,93
1546540414,93
1546540417,93
1546540420,93
1546540423,93
1546540426,93
1546540429,93
1546540432,99
1546540435,99
1546540438,99
1546540441,99
1546540444,99
1546540447,99
1546540450,99
1546540453,105
1546540456,105
1546540459,105
1546540462,105
1546540465,105
1546540468,105
1546540471,111
1546540474,111
1546540477,111
1546540480,111
1546540483,111
1546540486,111
1546540489,111
1546540492,117
1546540495,117
1546540498,117
1546540501,117
1546540504,117
1546540507,117
1546540510,117
1546540513,123
1546540516,123
1546540519,123
1546540522,123
1546540525,123
1546540528,123
1546540531,129
1546540534,129
1546540537,129
1546540540,129
1546540543,129
1546540546,129
1546540549,129
1546540552,135
1546540555,135
1546540558,135
1546540561,135
1546540564,135
1546540567,135
1546540570,135
1546540573,141
1546540576,141
1546540579,141
1546540582,141
1546540585,141
1546540588,141
1546540591,147
1546540594,147
1546540597,149
1546540600,149
1546540603,149
1546540606,149
1546540609,149
1546540612,155
1546540615,155
1546540618,157
1546540621,159
1546540624,159
1546540627,159
1546540630,161
1546540633,169
1546540636,171
1546540639,173
1546540642,177
1546540645,177
1546540648,177
1546540651,183
1546540654,183
1546540657,189
1546540660,193
1546540663,199
1546540666,199
1546540669,199
1546540672,205
1546540675,205
1546540678,205
1546540681,205
1546540684,205
1546540687,205
1546540690,205
1546540693,211
1546540696,211
1546540699,211
1546540702,213
1546540705,219
1546540708,219
1546540711,227
1546540714,233
1546540717,239
1546540720,239
1546540723,241
1546540726,243
1546540729,249
1546540732,255
1546540735,257
1546540738,261
1546540741,263
1546540744,263
1546540747,265
1546540750,265
1546540753,271
1546540756,271
1546540759,271
1546540762,271
1546540765,271
1546540768,271
1546540771,277
1546540774,277
1546540777,277
1546540780,277
1546540783,277
1546540786,277
1546540789,277
1546540792,283
1546540795,283
1546540798,291
1546540801,291
1546540804,291
1546540807,293
1546540810,295
1546540813,305
1546540816,305
1546540819,305
1546540822,305
1546540825,305
1546540828,305
1546540831,311
1546540834,311
1546540837,311
1546540840,315
1546540843,317
1546540846,317
1546540849,319
1546540852,325
1546540855,325
1546540858,325
1546540861,325
1546540864,325
1546540867,325
1546540870,325
1546540873,331
1546540876,331
1546540879,331
1546540882,331
1546540885,331
1546540888,331
1546540891,337
1546540894,337
1546540897,337
1546540900,337
1546540903,337
1546540906,337
1546540909,337
1546540912,343
1546540915,343
1546540918,343
1546540921,343
1546540924,343
1546540927,343
1546540930,343
1546540933,349
1546540936,349
1546540939,349
1546540942,349
1546540945,349
1546540948,349
1546540951,355
1546540954,355
1546540957,355
1546540960,355
1546540963,359
1546540966,361
1546540969,361
1546540972,367
1546540975,367
1546540978,367
1546540981,367
t,value
1546541001,1
1546541004,1
1546541007,2
1546541010,6
1546541013,6
1546541016,6
1546541019,6
1546541022,6
1546541025,6
1546541028,6
1546541031,6
1546541034,6
1546541037,6
1546541040,6
1546541043,6
1546541046,6
1546541049,6
1546541052,6
1546541055,15
1546541058,21
1546541061,23
1546541064,27
1546541067,29
1546541070,29
1546541073,33
1546541076,35
1546541079,35
1546541082,35
1546541085,35
1546541088,35
1546541091,35
1546541094,41
1546541097,41
1546541100,41
1546541103,41
1546541106,41
1546541109,41
1546541112,41
1546541115,47
1546541118,47
1546541121,47
1546541124,47
1546541127,47
1546541130,47
1546541133,51
1546541136,53
1546541139,53
1546541142,53
1546541145,53
t,value
1546541166,1
1546541169,1
1546541172,1
1546541175,1
1546541178,2
1546541181,10
1546541184,16
1546541187,22
1546541190,26
1546541193,26
1546541196,26
1546541199,32
1546541202,32
1546541205,32
1546541208,32
1546541211,32
1546541214,32
1546541217,34
1546541220,40
1546541223,46
1546541226,48
1546541229,48
1546541232,48
1546541235,48
1546541238,48
1546541241,54
1546541244,54
1546541247,54
1546541250,54
1546541253,54
1546541256,54
1546541259,60
1546541262,60
1546541265,60
1546541268,62
1546541271,66
1546541274,70
1546541277,72
1546541280,78
1546541283,78
1546541286,78
1546541289,78
1546541292,78
1546541295,78
1546541298,78
1546541301,84
1546541304,84
1546541307,84
1546541310,84
1546541313,84
1546541316,84
1546541319,90
1546541322,90
1546541325,90
1546541328,90
1546541331,90
1546541334,90
1546541337,90
1546541340,96
1546541343,96
1546541346,96
1546541349,96
1546541352,96
1546541355,96
1546541358,98
1546541361,106
1546541364,108
1546541367,108
1546541370,114
1546541373,114
1546541376,114
1546541379,120
1546541382,120
1546541385,122
1546541388,126
1546541391,132
1546541394,132
1546541397,136
1546541400,144
1546541403,144
1546541406,146
1546541409,150
1546541412,158
1546541415,158
1546541418,158
1546541421,164
1546541424,164
1546541427,164
1546541430,164
1546541433,164
1546541436,164
1546541439,168
1546541442,170
1546541445,172
1546541448,172
1546541451,172
1546541454,178
1546541457,178
1546541460,178
1546541463,184
1546541466,188
1546541469,192
1546541472,196
1546541475,204
1546541478,208
1546541481,212
1546541484,214
1546541487,214
1546541490,214
1546541493,214
1546541496,214
1546541499,214
1546541502,220
1546541505,226
1546541508,232
1546541511,240
1546541514,246
1546541517,254
1546541520,256
1546541523,268
1546541526,272
1546541529,274
1546541532,280
1546541535,286
1546541538,294
1546541541,302
1546541544,310
1546541547,310
1546541550,310
1546541553,310
1546541556,310
1546541559,314
1546541562,328
1546541565,336
1546541568,338
1546541571,338
1546541574,338
1546541577,342
1546541580,350
1546541583,356
1546541586,356
1546541589,360
1546541592,366
1546541595,372
1546541598,374
1546541601,378
1546541604,380
1546541607,384
1546541610,390
1546541613,394
1546541616,394
1546541619,396
1546541622,402
1546541625,402
1546541628,402
1546541631,402
1546541634,402
1546541637,402
1546541640,402
1546541643,408
1546541646,408
1546541649,408
1546541652,408
1546541655,408
1546541658,408
1546541661,412
1546541664,414
1546541667,414
1546541670,414
1546541673,414
1546541676,414
1546541679,414
1546541682,420
1546541685,420
1546541688,420
1546541691,420
1546541694,420
1546541697,420
1546541700,420
1546541703,426
1546541706,426
1546541709,426
1546541712,426
1546541715,426
1546541718,426
1546541721,430
1546541724,432
1546541727,432
1546541730,432
1546541733,432
1546541736,432
1546541739,432
1546541742,438
1546541745,438
1546541748,440
1546541751,442
1546541754,442
1546541757,442
1546541760,442
1546541763,448
1546541766,448
1546541769,448
1546541772,448
1546541775,448
1546541778,448
1546541781,460
1546541784,462
1546541787,468
1546541790,472
1546541793,478
1546541796,488
1546541799,496
1546541802,506
1546541805,506
1546541808,506
1546541811,506
1546541814,506
1546541817,506
1546541820,506
1546541823,512
1546541826,514
1546541829,520
1546541832,527
1546541835,527
1546541838,533
1546541841,539
1546541844,541
1546541847,541
1546541850,541
1546541853,541
1546541856,541
1546541859,541
1546541862,547
1546541865,547
1546541868,547
1546541871,547
1546541874,547
1546541877,547
1546541880,547
1546541883,553
1546541886,553
1546541889,553
1546541892,553
1546541895,553
1546541898,553
1546541901,557
1546541904,559
1546541907,559
1546541910,559
1546541913,559
1546541916,559
1546541919,563
1546541922,577
1546541925,579
1546541928,587
1546541931,595
1546541934,595
1546541937,599
1546541940,599
1546541943,611
1546541946,611
1546541949,613
1546541952,623
1546541955,625
1546541958,629
1546541961,639
1546541964,643
1546541967,649
1546541970,651
1546541973,653
1546541976,653
1546541979,653
1546541982,659
1546541985,661
1546541988,667
1546541991,667
1546541994,667
1546541997,669
1546542000,671
1546542003,683
1546542006,683
1546542009,685
1546542012,692
1546542015,692
1546542018,698
1546542021,702
1546542024,704
1546542027,706
1546542030,706
1546542033,706
1546542036,706
1546542039,706
1546542042,712
1546542045,712
1546542048,716
1546542051,718
1546542054,718
1546542057,718
1546542060,718
1546542063,724
1546542066,724
1546542069,724
1546542072,724
1546542075,724
1546542078,724
1546542081,728
1546542084,730
1546542087,730
1546542090,736
1546542093,738
1546542096,738
1546542099,738
1546542102,744
1546542105,744
1546542108,744
1546542111,744
1546542114,744
1546542117,744
1546542120,744
1546542123,750
1546542126,750
1546542129,750
1546542132,750
1546542135,750
1546542138,750
1546542141,754
1546542144,756
1546542147,756
1546542150,756
1546542153,764
1546542156,770
1546542159,772
1546542162,778
1546542165,784
1546542168,790
1546542171,792
1546542174,796
1546542177,796
1546542180,796
1546542183,802
1546542186,806
1546542189,806
1546542192,806
1546542195,806
1546542198,808
1546542201,818
1546542204,822
1546542207,828
1546542210,828
1546542213,828
1546542216,828
1546542219,830
1546542222,838
1546542225,840
1546542228,844
1546542231,844
1546542234,844
1546542237,844
1546542240,844
1546542243,850
1546542246,854
1546542249,856
1546542252,856
1546542255,858
1546542258,862
1546542261,870
1546542264,874
1546542267,877
1546542270,877
1546542273,883
1546542276,883
1546542279,883
1546542282,889
1546542285,889
1546542288,889
1546542291,889
1546542294,889
1546542297,889
1546542300,889
1546542303,895
1546542306,895
1546542309,895
1546542312,895
1546542315,899
1546542318,909
1546542321,915
1546542324,917
1546542327,917
1546542330,917
1546542333,917
1546542336,917
1546542339,917
1546542342,923
1546542345,929
1546542348,933
1546542351,941
1546542354,943
1546542357,949
1546542360,949
1546542363,959
1546542366,971
1546542369,971
1546542372,971
1546542375,971
1546542378,973
1546542381,981
1546542384,989
1546542387,995
1546542390,1007
1546542393,1009
1546542396,1009
1546542399,1009
1546542402,1015
1546542405,1015
1546542408,1015
1546542411,1015
1546542414,1017
1546542417,1017
1546542420,1019
1546542423,1029
1546542426,1035
1546542429,1037
1546542432,1037
1546542435,1043
1546542438,1047
1546542441,1051
1546542444,1055
1546542447,1059
1546542450,1069
1546542453,1069
1546542456,1069
1546542459,1069
1546542462,1079
1546542465,1087
1546542468,1089
1546542471,1091
1546542474,1091
1546542477,1093
1546542480,1093
1546542483,1103
1546542486,1105
1546542489,1111
1546542492,1113
1546542495,1115
1546542498,1125
1546542501,1131
1546542504,1136
1546542507,1137
1546542510,1137
1546542513,1139
1546542516,1139
1546542519,1141
1546542522,1147
1546542525,1147
1546542528,1151
1546542531,1159
1546542534,1167
1546542537,1167
1546542540,1169
1546542543,1175
1546542546,1175
1546542549,1181
1546542552,1183
1546542555,1185
1546542558,1191
1546542561,1201
1546542564,1205
1546542567,1205
1546542570,1207
1546542573,1207
1546542576,1213
1546542579,1215
1546542582,1221
1546542585,1221
1546542588,1221
1546542591,1221
1546542594,1223
1546542597,1227
1546542600,1227
1546542603,1235
1546542606,1235
1546542609,1237
1546542612,1237
1546542615,1237
1546542618,1237
1546542621,1243
1546542624,1247
1546542627,1247
1546542630,1249
1546542633,1249
1546542636,1249
1546542639,1255
1546542642,1261
1546542645,1269
1546542648,1277
1546542651,1287
1546542654,1287
1546542657,1287
1546542660,1287
1546542663,1293
1546542666,1293
1546542669,1293
1546542672,1293
1546542675,1293
1546542678,1293
1546542681,1297
1546542684,1299
1546542687,1299
1546542690,1299
1546542693,1299
1546542696,1299
1546542699,1299
1546542702,1305
1546542705,1305
1546542708,1305
1546542711,1305
1546542714,1305
1546542717,1305
1546542720,1305
1546542723,1311
1546542726,1311
1546542729,1311
1546542732,1311
1546542735,1311
1546542738,1311
1546542741,1315
1546542744,1317
1546542747,1317
1546542750,1317
1546542753,1317
1546542756,1317
1546542759,1317
1546542762,1323
1546542765,1323
1546542768,1323
1546542771,1323
1546542774,1323
1546542777,1323
1546542780,1323
