t,value
1546540195,5
1546540198,7
1546540201,7
1546540204,7
1546540207,7
1546540210,7
1546540213,7
1546540216,7
1546540219,7
1546540222,7
1546540225,7
1546540228,7
1546540231,7
1546540234,7
1546540237,7
1546540240,7
1546540243,7
1546540246,7
1546540249,7
1546540252,7
1546540255,7
1546540258,7
1546540261,7
1546540264,7
1546540267,7
1546540270,7
1546540273,7
1546540276,7
1546540279,7
1546540282,7
1546540285,7
1546540288,7
1546540291,7
1546540294,7
1546540297,7
1546540300,7
1546540303,7
1546540306,7
1546540309,7
1546540312,7
1546540315,7
1546540318,7
1546540321,7
1546540324,7
1546540327,7
1546540330,7
1546540333,7
1546540336,7
1546540339,7
1546540342,7
1546540345,7
1546540348,7
1546540351,7
1546540354,7
1546540357,7
1546540360,7
1546540363,7
1546540366,7
1546540369,7
1546540372,8
1546540375,8
1546540378,8
1546540381,8
1546540384,8
1546540387,8
1546540390,8
1546540393,8
1546540396,8
1546540399,8
1546540402,8
1546540405,8
1546540408,8
1546540411,8
1546540414,8
1546540417,8
1546540420,8
1546540423,8
1546540426,8
1546540429,8
1546540432,8
1546540435,8
1546540438,8
1546540441,8
1546540444,8
1546540447,8
1546540450,8
1546540453,8
1546540456,8
1546540459,8
1546540462,8
1546540465,8
1546540468,8
1546540471,8
1546540474,8
1546540477,8
1546540480,8
1546540483,8
1546540486,8
1546540489,8
1546540492,8
1546540495,8
1546540498,8
1546540501,8
1546540504,8
1546540507,8
1546540510,8
1546540513,8
1546540516,8
1546540519,8
1546540522,8
1546540525,8
1546540528,8
1546540531,8
1546540534,8
1546540537,8
1546540540,8
1546540543,8
1546540546,8
1546540549,8
1546540552,8
1546540555,8
1546540558,8
1546540561,8
1546540564,8
1546540567,8
1546540570,8
1546540573,8
1546540576,8
1546540579,8
1546540582,8
1546540585,8
1546540588,8
1546540591,8
1546540594,8
1546540597,8
1546540600,8
1546540603,8
1546540606,8
1546540609,8
1546540612,8
1546540615,8
1546540618,8
1546540621,8
1546540624,8
1546540627,8
1546540630,8
1546540633,8
