t,value
1546540195,65
1546540198,132
1546540201,132
1546540204,132
1546540207,132
1546540210,132
1546540213,132
1546540216,132
1546540219,132
1546540222,132
1546540225,132
1546540228,132
1546540231,132
1546540234,132
1546540237,132
1546540240,132
1546540243,132
1546540246,132
1546540249,132
1546540252,132
1546540255,132
1546540258,132
1546540261,132
1546540264,132
1546540267,132
1546540270,132
1546540273,132
1546540276,132
1546540279,132
1546540282,132
1546540285,132
1546540288,132
1546540291,132
1546540294,132
1546540297,132
1546540300,132
1546540303,132
1546540306,132
1546540309,132
1546540312,132
1546540315,132
1546540318,132
1546540321,132
1546540324,132
1546540327,132
1546540330,132
1546540333,132
1546540336,132
1546540339,132
1546540342,132
1546540345,132
1546540348,132
1546540351,132
1546540354,132
1546540357,132
1546540360,132
1546540363,132
1546540366,132
1546540369,132
1546540372,178
1546540375,178
1546540378,178
1546540381,178
1546540384,178
1546540387,178
1546540390,178
1546540393,178
1546540396,178
1546540399,178
1546540402,178
1546540405,178
1546540408,178
1546540411,178
1546540414,178
1546540417,178
1546540420,178
1546540423,178
1546540426,178
1546540429,178
1546540432,178
1546540435,178
1546540438,178
1546540441,178
1546540444,178
1546540447,178
1546540450,178
1546540453,178
1546540456,178
1546540459,178
1546540462,178
1546540465,178
1546540468,178
1546540471,178
1546540474,178
1546540477,178
1546540480,178
1546540483,178
1546540486,178
1546540489,178
1546540492,178
1546540495,178
1546540498,178
1546540501,178
1546540504,178
1546540507,178
1546540510,178
1546540513,178
1546540516,178
1546540519,178
1546540522,178
1546540525,178
1546540528,178
1546540531,178
1546540534,178
1546540537,178
1546540540,178
1546540543,178
1546540546,178
1546540549,178
1546540552,178
1546540555,178
1546540558,178
1546540561,178
1546540564,178
1546540567,178
1546540570,178
1546540573,178
1546540576,178
1546540579,178
1546540582,178
1546540585,178
1546540588,178
1546540591,178
1546540594,178
1546540597,178
1546540600,178
1546540603,178
1546540606,178
1546540609,178
1546540612,178
1546540615,178
1546540618,178
1546540621,178
1546540624,178
1546540627,178
1546540630,178
1546540633,178
1546540636,178
1546540639,178
1546540642,178
1546540645,178
1546540648,178
1546540651,178
1546540654,178
1546540657,178
1546540660,178
1546540663,178
