t,value
1546540195,196624
1546540198,196624
1546540201,239772
1546540204,239772
1546540207,239772
1546540210,239772
1546540213,239772
1546540216,239772
1546540219,239772
1546540222,239772
1546540225,239772
1546540228,239772
1546540231,239772
1546540234,239772
1546540237,239772
1546540240,239772
1546540243,239772
1546540246,239772
1546540249,239772
1546540252,239772
1546540255,239772
1546540258,239772
1546540261,239772
1546540264,239772
1546540267,239772
1546540270,239772
1546540273,239772
1546540276,239772
1546540279,239772
1546540282,239772
1546540285,239772
1546540288,239772
1546540291,239772
1546540294,239772
1546540297,239772
1546540300,239772
1546540303,239772
1546540306,239772
1546540309,239772
1546540312,239772
1546540315,239772
1546540318,239772
1546540321,239772
1546540324,239772
1546540327,239772
1546540330,239772
1546540333,239772
1546540336,239772
1546540339,239772
1546540342,239772
1546540345,239772
1546540348,239772
1546540351,239772
1546540354,239772
1546540357,239772
1546540360,239772
1546540363,239772
1546540366,239772
1546540369,239772
1546540372,239772
1546540375,239772
1546540378,239772
1546540381,239772
1546540384,239772
1546540387,239772
1546540390,239772
1546540393,239772
1546540396,239772
1546540399,239772
1546540402,239772
1546540405,239772
1546540408,239772
1546540411,239772
1546540414,239772
1546540417,239772
1546540420,239772
1546540423,239772
1546540426,239772
1546540429,239772
1546540432,239772
1546540435,239772
1546540438,239772
1546540441,239772
1546540444,239772
1546540447,239772
1546540450,239772
1546540453,239772
1546540456,239772
1546540459,239772
1546540462,239772
1546540465,239772
1546540468,239772
1546540471,239772
1546540474,239772
1546540477,239772
1546540480,239772
1546540483,239772
1546540486,239772
1546540489,239772
1546540492,239772
1546540495,239772
1546540498,239772
1546540501,239772
1546540504,239772
1546540507,239772
1546540510,239772
1546540513,239772
1546540516,239772
1546540519,239772
1546540522,239772
1546540525,239772
1546540528,239772
1546540531,239772
1546540534,239772
1546540537,239772
1546540540,239772
1546540543,239772
1546540546,239772
1546540549,239772
1546540552,239772
1546540555,239772
1546540558,239772
1546540561,239772
1546540564,239772
1546540567,239772
1546540570,239772
1546540573,239772
1546540576,239772
1546540579,239772
1546540582,239772
1546540585,239772
1546540588,239772
1546540591,239772
1546540594,239772
1546540597,239772
1546540600,239772
1546540603,239772
1546540606,239772
1546540609,239772
