t,value
1546540195,5
1546540198,5
1546540201,9
1546540204,9
1546540207,9
1546540210,9
1546540213,9
1546540216,9
1546540219,9
1546540222,9
1546540225,9
1546540228,9
1546540231,9
1546540234,9
1546540237,9
1546540240,9
1546540243,9
1546540246,9
1546540249,9
1546540252,9
1546540255,9
1546540258,9
1546540261,9
1546540264,9
1546540267,9
1546540270,9
1546540273,9
1546540276,9
1546540279,9
1546540282,9
1546540285,9
1546540288,9
1546540291,9
1546540294,9
1546540297,9
1546540300,9
1546540303,9
1546540306,9
1546540309,9
1546540312,9
1546540315,9
1546540318,9
1546540321,9
1546540324,9
1546540327,9
1546540330,9
1546540333,9
1546540336,9
1546540339,9
1546540342,9
1546540345,9
1546540348,9
1546540351,9
1546540354,9
1546540357,9
1546540360,9
1546540363,9
1546540366,9
1546540369,9
1546540372,9
1546540375,9
1546540378,9
1546540381,9
1546540384,9
1546540387,9
1546540390,9
1546540393,9
1546540396,9
1546540399,9
1546540402,9
1546540405,9
1546540408,9
1546540411,9
1546540414,9
1546540417,9
1546540420,9
1546540423,9
1546540426,9
1546540429,9
1546540432,9
1546540435,9
1546540438,9
1546540441,9
1546540444,9
1546540447,9
1546540450,9
1546540453,9
1546540456,9
1546540459,9
1546540462,9
1546540465,9
1546540468,9
1546540471,9
1546540474,9
1546540477,9
1546540480,9
1546540483,9
1546540486,9
1546540489,9
1546540492,9
1546540495,9
1546540498,9
1546540501,9
1546540504,9
1546540507,9
1546540510,9
1546540513,9
1546540516,9
1546540519,9
1546540522,9
1546540525,9
1546540528,9
1546540531,9
1546540534,9
1546540537,9
1546540540,9
1546540543,9
1546540546,9
1546540549,9
1546540552,9
1546540555,9
1546540558,9
1546540561,9
1546540564,9
1546540567,9
1546540570,9
1546540573,9
1546540576,9
1546540579,9
1546540582,9
1546540585,9
1546540588,9
1546540591,9
1546540594,9
1546540597,9
1546540600,9
1546540603,9
1546540606,9
1546540609,9
1546540612,9
1546540615,9
1546540618,9
1546540621,9
1546540624,9
1546540627,9
1546540630,9
1546540633,9
1546540636,9
1546540639,9
1546540642,9
1546540645,9
1546540648,9
1546540651,9
1546540654,9
1546540657,9
1546540660,9
1546540663,9
1546540666,9
1546540669,9
1546540672,9
1546540675,9
1546540678,9
1546540681,9
1546540684,9
1546540687,9
1546540690,9
1546540693,9
1546540696,9
1546540699,9
1546540702,9
1546540705,9
1546540708,9
1546540711,9
1546540714,9
1546540717,9
1546540720,9
1546540723,9
1546540726,9
1546540729,9
1546540732,9
1546540735,9
1546540738,9
1546540741,9
1546540744,9
1546540747,9
1546540750,9
1546540753,9
1546540756,9
1546540759,9
1546540762,9
1546540765,9
1546540768,9
1546540771,9
1546540774,9
1546540777,9
1546540780,9
1546540783,9
1546540786,9
1546540789,9
1546540792,9
1546540795,9
1546540798,9
1546540801,9
1546540804,9
1546540807,9
1546540810,9
1546540813,9
1546540816,9
1546540819,9
1546540822,9
1546540825,9
1546540828,9
1546540831,9
1546540834,9
1546540837,9
1546540840,9
1546540843,9
1546540846,9
1546540849,9
1546540852,9
1546540855,9
1546540858,9
1546540861,9
1546540864,9
1546540867,9
1546540870,9
1546540873,9
1546540876,9
1546540879,9
1546540882,9
1546540885,9
1546540888,9
1546540891,9
1546540894,9
1546540897,9
1546540900,9
1546540903,9
1546540906,9
1546540909,9
1546540912,9
1546540915,9
1546540918,9
1546540921,9
1546540924,9
1546540927,9
1546540930,9
1546540933,9
1546540936,9
1546540939,9
1546540942,9
1546540945,9
1546540948,9
1546540951,9
1546540954,9
1546540957,9
1546540960,9
1546540963,9
1546540966,9
1546540969,9
1546540972,9
1546540975,9
1546540978,9
1546540981,9
t,value
1546541001,5
1546541004,5
1546541007,9
1546541010,9
1546541013,9
1546541016,9
1546541019,9
1546541022,9
1546541025,9
1546541028,9
1546541031,9
1546541034,9
1546541037,9
1546541040,9
1546541043,9
1546541046,9
1546541049,9
1546541052,9
1546541055,9
1546541058,9
1546541061,9
1546541064,9
1546541067,9
1546541070,9
1546541073,9
1546541076,9
1546541079,9
1546541082,9
1546541085,9
1546541088,9
1546541091,9
1546541094,9
1546541097,9
1546541100,9
1546541103,9
1546541106,9
1546541109,9
1546541112,9
1546541115,9
1546541118,9
1546541121,9
1546541124,9
1546541127,9
1546541130,9
1546541133,9
1546541136,9
1546541139,9
1546541142,9
1546541145,9
t,value
1546541166,5
1546541169,5
1546541172,9
1546541175,9
1546541178,9
1546541181,9
1546541184,9
1546541187,9
1546541190,9
1546541193,9
1546541196,9
1546541199,9
1546541202,9
1546541205,9
1546541208,9
1546541211,9
1546541214,9
1546541217,9
1546541220,9
1546541223,9
1546541226,9
1546541229,9
1546541232,9
1546541235,9
1546541238,9
1546541241,9
1546541244,9
1546541247,9
1546541250,9
1546541253,9
1546541256,9
1546541259,9
1546541262,9
1546541265,9
1546541268,9
1546541271,9
