t,value
1546540195,10355072
1546540198,11822784
1546540201,13292928
1546540204,13829248
1546540207,13832768
1546540210,13990208
1546540213,18012864
1546540216,18149888
1546540219,18121792
1546540222,18169152
1546540225,18174080
1546540228,18203840
1546540231,18624832
1546540234,18680640
1546540237,18704448
1546540240,18711936
1546540243,18716672
1546540246,18738304
1546540249,18773056
1546540252,19131712
1546540255,19146432
1546540258,19150080
1546540261,19159232
1546540264,19176384
1546540267,19185536
1546540270,19187840
1546540273,19521152
1546540276,19521152
1546540279,19433792
1546540282,19433792
1546540285,19433792
1546540288,19352384
1546540291,19489920
1546540294,19508224
1546540297,19512064
1546540300,19512448
1546540303,19513280
1546540306,19479552
1546540309,19479552
1546540312,19726656
1546540315,19729408
1546540318,19734912
1546540321,19746112
1546540324,19748480
1546540327,19752960
1546540330,19761920
1546540333,19878912
1546540336,19880640
1546540339,19886464
1546540342,19886464
1546540345,19896192
1546540348,19906176
1546540351,20031296
1546540354,20034496
1546540357,20035456
1546540360,20042176
1546540363,20200768
1546540366,20242240
1546540369,20334976
1546540372,20676608
1546540375,20683392
1546540378,20683392
1546540381,20685120
1546540384,20698816
1546540387,20699776
1546540390,20697920
1546540393,20873344
1546540396,20886016
1546540399,20888704
1546540402,20888704
1546540405,20915328
1546540408,20915328
1546540411,21037568
1546540414,21038720
1546540417,21051520
1546540420,21051520
1546540423,21051520
1546540426,21053568
1546540429,21072896
1546540432,21224640
1546540435,21224640
1546540438,21225152
1546540441,21225152
1546540444,21225152
1546540447,21227392
1546540450,21229824
1546540453,21330304
1546540456,21330304
1546540459,21339392
1546540462,21339392
1546540465,21340352
1546540468,21342400
1546540471,21398784
1546540474,21398784
1546540477,21423424
1546540480,21424256
1546540483,21424256
1546540486,21424256
1546540489,21424256
1546540492,21480320
1546540495,21480320
1546540498,21480320
1546540501,21481024
1546540504,21481024
1546540507,21506304
1546540510,21506304
1546540513,21626304
1546540516,21626304
1546540519,21627840
1546540522,21628928
1546540525,21628928
1546540528,21639424
1546540531,21743168
1546540534,21744128
1546540537,21746048
1546540540,21747776
1546540543,21747776
1546540546,21749696
1546540549,21759616
1546540552,21851712
1546540555,21852480
1546540558,21854400
1546540561,21854400
1546540564,21854400
1546540567,21856640
1546540570,21856640
1546540573,21932672
1546540576,21946944
1546540579,21946944
1546540582,21946944
1546540585,21946944
1546540588,21956672
1546540591,22014336
1546540594,22018240
1546540597,22056512
1546540600,22066240
1546540603,22069568
1546540606,22071872
1546540609,22071872
1546540612,22188928
1546540615,22190848
1546540618,22203392
1546540621,22216896
1546540624,22217600
1546540627,22217600
1546540630,22210624
1546540633,22319424
1546540636,22368192
1546540639,22436608
1546540642,22490496
1546540645,22490496
1546540648,22490496
1546540651,22479232
1546540654,22479232
1546540657,22542144
1546540660,22639360
1546540663,22812544
1546540666,22815936
1546540669,22826304
1546540672,22918464
1546540675,22918464
1546540678,22918464
1546540681,22918464
1546540684,22927936
1546540687,22934592
1546540690,22934592
1546540693,22974016
1546540696,22974592
1546540699,22974592
1546540702,23007104
1546540705,23016704
1546540708,23017216
1546540711,23061952
1546540714,23260608
1546540717,23265856
1546540720,23253248
1546540723,23253248
1546540726,23274304
1546540729,23319744
1546540732,23428608
1546540735,23520256
1546540738,23547392
1546540741,23553728
1546540744,23565376
1546540747,23568384
1546540750,23569216
1546540753,23575296
1546540756,23575296
1546540759,23575296
1546540762,23572800
1546540765,23572800
1546540768,23572800
1546540771,23602496
1546540774,23602496
1546540777,23603136
1546540780,23603136
1546540783,23608064
1546540786,23608064
1546540789,23608064
1546540792,23707392
1546540795,23747008
1546540798,23970368
1546540801,23970368
1546540804,23973952
1546540807,23976640
1546540810,23984448
1546540813,24103744
1546540816,24153536
1546540819,24153536
1546540822,24153536
1546540825,24153536
1546540828,24158528
1546540831,24157952
1546540834,24159488
1546540837,24160000
1546540840,24176960
1546540843,24202496
1546540846,24202496
1546540849,24231296
1546540852,24319296
1546540855,24319296
1546540858,24321472
1546540861,24348224
1546540864,24348224
1546540867,24348224
1546540870,24348224
1546540873,24372096
1546540876,24372096
1546540879,24372096
1546540882,24372096
1546540885,24371584
1546540888,24371584
1546540891,24358848
1546540894,24358848
1546540897,24358848
1546540900,24358848
1546540903,24372672
1546540906,24372672
1546540909,24372672
1546540912,24404096
1546540915,24400896
1546540918,24400896
1546540921,24400896
1546540924,24400896
1546540927,24400896
1546540930,24400896
1546540933,24452800
1546540936,24452800
1546540939,24452800
1546540942,24452800
1546540945,24452800
1546540948,24452800
1546540951,24443584
1546540954,24444864
1546540957,24449920
1546540960,24715648
1546540963,24737664
1546540966,24738432
1546540969,24738432
1546540972,24777280
1546540975,24777280
1546540978,24777280
1546540981,24777280
t,value
1546541001,10842752
1546541004,12054720
