t,value
1546540195,6390264
1546540198,8744568
1546540201,9696008
1546540204,10307128
1546540207,10307128
1546540210,10335000
1546540213,10526504
1546540216,10526504
1546540219,10526504
1546540222,10526504
1546540225,10526504
1546540228,10526504
1546540231,10527912
1546540234,10527912
1546540237,10527912
1546540240,10527912
1546540243,10527912
1546540246,10527912
1546540249,10527912
1546540252,10529472
1546540255,10529472
1546540258,10529472
1546540261,10529472
1546540264,10529472
1546540267,10529472
1546540270,10529472
1546540273,10533240
1546540276,10533240
1546540279,10533240
1546540282,10533240
1546540285,10533240
1546540288,10533240
1546540291,10534344
1546540294,10534344
1546540297,10534344
1546540300,10534344
1546540303,10534344
1546540306,10534344
1546540309,10534344
1546540312,10534344
1546540315,10534344
1546540318,10534344
1546540321,10534344
1546540324,10534344
1546540327,10534344
1546540330,10534344
1546540333,10534344
1546540336,10534344
1546540339,10534344
1546540342,10534344
1546540345,10534344
1546540348,10534344
1546540351,10534344
1546540354,10534344
1546540357,10534344
1546540360,10534344
1546540363,10553848
1546540366,10553848
1546540369,10553848
1546540372,10553848
1546540375,10553848
1546540378,10553848
1546540381,10553848
1546540384,10553848
1546540387,10553848
1546540390,10553848
1546540393,10553848
1546540396,10553848
1546540399,10553848
1546540402,10553848
1546540405,10553848
1546540408,10553848
1546540411,10553848
1546540414,10553848
1546540417,10553848
1546540420,10553848
1546540423,10553848
1546540426,10553848
1546540429,10553848
1546540432,10553848
1546540435,10553848
1546540438,10553848
1546540441,10553848
1546540444,10553848
1546540447,10553848
1546540450,10553848
1546540453,10553848
1546540456,10553848
1546540459,10553848
1546540462,10553848
1546540465,10553848
1546540468,10553848
1546540471,10553848
1546540474,10553848
1546540477,10553848
1546540480,10553848
1546540483,10553848
1546540486,10553848
1546540489,10553848
1546540492,10555504
1546540495,10555504
1546540498,10555504
1546540501,10555504
1546540504,10555504
1546540507,10555504
1546540510,10555504
1546540513,10586416
1546540516,10586416
1546540519,10586416
1546540522,10586416
1546540525,10586416
1546540528,10586416
1546540531,10586416
1546540534,10586416
1546540537,10586416
1546540540,10586416
1546540543,10586416
1546540546,10586416
1546540549,10586416
1546540552,10586416
1546540555,10586416
1546540558,10586416
1546540561,10586416
1546540564,10586416
1546540567,10586416
1546540570,10586416
1546540573,10586416
1546540576,10586416
1546540579,10586416
1546540582,10586416
1546540585,10586416
1546540588,10586416
1546540591,10586944
1546540594,10586944
1546540597,10590128
1546540600,10590128
1546540603,10590128
1546540606,10590128
1546540609,10590128
1546540612,10590128
1546540615,10590128
1546540618,10590128
1546540621,10590128
1546540624,10590128
1546540627,10590128
1546540630,10590128
1546540633,10590128
1546540636,10590128
1546540639,10590128
1546540642,10590792
1546540645,10590792
1546540648,10590792
1546540651,10590792
1546540654,10590792
1546540657,10590792
1546540660,10591256
1546540663,10665064
1546540666,10665064
1546540669,10665064
1546540672,10665064
1546540675,10665064
1546540678,10665064
1546540681,10665064
1546540684,10665064
1546540687,10665064
1546540690,10665064
1546540693,10665064
1546540696,10665064
1546540699,10665064
1546540702,10665064
1546540705,10665064
1546540708,10665064
1546540711,10665064
1546540714,10665616
1546540717,10665616
1546540720,10665616
1546540723,10665616
1546540726,10665616
1546540729,10665616
1546540732,10665616
1546540735,10665616
1546540738,10667200
1546540741,10667200
1546540744,10667200
1546540747,10667200
1546540750,10667200
1546540753,10667200
1546540756,10667200
1546540759,10667200
1546540762,10667200
1546540765,10667200
1546540768,10667200
1546540771,10667200
1546540774,10667200
1546540777,10667200
1546540780,10667200
1546540783,10667200
1546540786,10667200
1546540789,10667200
1546540792,10667200
1546540795,10701568
1546540798,10714288
1546540801,10714288
1546540804,10714288
1546540807,10714288
1546540810,10714288
1546540813,10714768
1546540816,10714768
1546540819,10714768
1546540822,10714768
1546540825,10714768
1546540828,10714768
1546540831,10714768
1546540834,10714768
1546540837,10715248
1546540840,10715248
1546540843,10715248
1546540846,10715248
1546540849,10715248
1546540852,10715248
1546540855,10715248
1546540858,10715248
1546540861,10715248
1546540864,10715248
1546540867,10715248
1546540870,10715248
1546540873,10715248
1546540876,10715248
1546540879,10715248
1546540882,10715248
1546540885,10715248
1546540888,10715248
1546540891,10715248
1546540894,10715248
1546540897,10715248
1546540900,10715248
1546540903,10715248
1546540906,10715248
1546540909,10715248
1546540912,10715248
1546540915,10715248
1546540918,10715248
1546540921,10715248
1546540924,10715248
1546540927,10715248
1546540930,10715248
1546540933,10715248
1546540936,10715248
1546540939,10715248
1546540942,10715248
1546540945,10715248
1546540948,10715248
1546540951,10715248
1546540954,10715248
1546540957,10715248
1546540960,10715248
1546540963,10715248
1546540966,10715248
1546540969,10715248
1546540972,10715248
1546540975,10715248
1546540978,10715248
1546540981,10715248
t,value
1546541001,6295096
1546541004,8771224
1546541007,9506688
1546541010,10195360
1546541013,10195360
1546541016,10195360
1546541019,10195360
1546541022,10195360
1546541025,10195360
1546541028,10195360
1546541031,10195360
1546541034,10195360
1546541037,10195360
1546541040,10195360
1546541043,10195360
1546541046,10195360
1546541049,10195360
1546541052,10196368
1546541055,10403256
1546541058,10501824
1546541061,10501824
1546541064,10503856
1546541067,10503856
1546541070,10503856
1546541073,10507400
1546541076,10507400
1546541079,10507400
1546541082,10507400
1546541085,10507400
1546541088,10507400
1546541091,10507400
1546541094,10508504
1546541097,10508504
1546541100,10508504
1546541103,10508504
1546541106,10508504
1546541109,10508504
1546541112,10508504
1546541115,10511096
1546541118,10511096
1546541121,10511096
1546541124,10511096
1546541127,10511096
1546541130,10511096
1546541133,10511096
1546541136,10511096
1546541139,10511096
1546541142,10511096
1546541145,10511096
t,value
1546541166,6759824
1546541169,8848840
1546541172,9300880
1546541175,9301472
1546541178,9725600
1546541181,10310680
1546541184,10396312
1546541187,10398520
1546541190,10407000
1546541193,10407000
1546541196,10407000
1546541199,10411096
1546541202,10411096
1546541205,10411096
1546541208,10411096
1546541211,10411096
1546541214,10411096
1546541217,10411096
