t,value
1546540195,176160768
1546540198,14680064
1546540201,133169152
1546540204,195035136
1546540207,196083712
1546540210,200278016
1546540213,243269632
1546540216,243269632
1546540219,243269632
1546540222,243269632
1546540225,244318208
1546540228,244318208
1546540231,248512512
1546540234,248512512
1546540237,249561088
1546540240,249561088
1546540243,249561088
1546540246,250609664
1546540249,250609664
1546540252,256901120
1546540255,256901120
1546540258,256901120
1546540261,256901120
1546540264,257949696
1546540267,257949696
1546540270,257949696
1546540273,262144000
1546540276,262144000
1546540279,263192576
1546540282,263192576
1546540285,263192576
1546540288,263192576
1546540291,267386880
1546540294,268435456
1546540297,268435456
1546540300,268435456
1546540303,268435456
1546540306,269484032
1546540309,269484032
1546540312,273678336
1546540315,273678336
1546540318,274726912
1546540321,274726912
1546540324,274726912
1546540327,275775488
1546540330,275775488
1546540333,279969792
1546540336,279969792
1546540339,279969792
1546540342,281018368
1546540345,281018368
1546540348,281018368
1546540351,285212672
1546540354,285212672
1546540357,285212672
1546540360,286261248
1546540363,288358400
1546540366,289406976
1546540369,290455552
1546540372,6291456
1546540375,7340032
1546540378,7340032
1546540381,8388608
1546540384,8388608
1546540387,8388608
1546540390,8388608
1546540393,13631488
1546540396,13631488
1546540399,13631488
1546540402,13631488
1546540405,14680064
1546540408,14680064
1546540411,18874368
1546540414,18874368
1546540417,18874368
1546540420,18874368
1546540423,19922944
1546540426,19922944
1546540429,19922944
1546540432,24117248
1546540435,25165824
1546540438,25165824
1546540441,25165824
1546540444,25165824
1546540447,26214400
1546540450,26214400
1546540453,30408704
1546540456,30408704
1546540459,30408704
1546540462,30408704
1546540465,31457280
1546540468,31457280
1546540471,35651584
1546540474,35651584
1546540477,35651584
1546540480,35651584
1546540483,36700160
1546540486,36700160
1546540489,36700160
1546540492,40894464
1546540495,41943040
1546540498,41943040
1546540501,41943040
1546540504,41943040
1546540507,42991616
1546540510,42991616
1546540513,47185920
1546540516,47185920
1546540519,47185920
1546540522,47185920
1546540525,48234496
1546540528,48234496
1546540531,52428800
1546540534,53477376
1546540537,53477376
1546540540,53477376
1546540543,53477376
1546540546,54525952
1546540549,54525952
1546540552,58720256
1546540555,58720256
1546540558,58720256
1546540561,59768832
1546540564,59768832
1546540567,59768832
1546540570,59768832
1546540573,63963136
1546540576,63963136
1546540579,65011712
1546540582,65011712
1546540585,65011712
1546540588,66060288
1546540591,69206016
1546540594,70254592
1546540597,71303168
1546540600,71303168
1546540603,71303168
1546540606,71303168
1546540609,72351744
1546540612,76546048
1546540615,77594624
1546540618,77594624
1546540621,78643200
1546540624,79691776
1546540627,79691776
1546540630,79691776
1546540633,84934656
1546540636,84934656
1546540639,85983232
1546540642,85983232
1546540645,87031808
1546540648,87031808
1546540651,90177536
1546540654,90177536
1546540657,91226112
1546540660,93323264
1546540663,101711872
1546540666,102760448
1546540669,102760448
1546540672,106954752
1546540675,106954752
1546540678,106954752
1546540681,108003328
1546540684,108003328
1546540687,108003328
1546540690,108003328
1546540693,112197632
1546540696,113246208
1546540699,113246208
1546540702,114294784
1546540705,115343360
1546540708,115343360
1546540711,119537664
1546540714,122683392
1546540717,123731968
1546540720,123731968
1546540723,124780544
1546540726,125829120
1546540729,126877696
1546540732,131072000
1546540735,131072000
1546540738,131072000
1546540741,132120576
1546540744,132120576
1546540747,132120576
1546540750,133169152
1546540753,136314880
1546540756,137363456
1546540759,137363456
1546540762,137363456
1546540765,137363456
1546540768,138412032
1546540771,142606336
1546540774,142606336
1546540777,142606336
1546540780,142606336
1546540783,143654912
1546540786,143654912
1546540789,143654912
1546540792,147849216
1546540795,148897792
1546540798,152043520
1546540801,153092096
1546540804,153092096
1546540807,154140672
1546540810,154140672
1546540813,160432128
1546540816,160432128
1546540819,160432128
1546540822,160432128
1546540825,161480704
1546540828,161480704
1546540831,165675008
1546540834,165675008
1546540837,166723584
1546540840,166723584
1546540843,167772160
1546540846,167772160
1546540849,168820736
1546540852,171966464
1546540855,171966464
1546540858,173015040
1546540861,173015040
1546540864,173015040
1546540867,174063616
1546540870,174063616
1546540873,177209344
1546540876,178257920
1546540879,178257920
1546540882,178257920
1546540885,178257920
1546540888,179306496
1546540891,182452224
1546540894,183500800
1546540897,183500800
1546540900,183500800
1546540903,183500800
1546540906,184549376
1546540909,184549376
1546540912,188743680
1546540915,188743680
1546540918,188743680
1546540921,189792256
1546540924,189792256
1546540927,189792256
1546540930,190840832
1546540933,193986560
1546540936,193986560
1546540939,193986560
1546540942,195035136
1546540945,195035136
1546540948,195035136
1546540951,199229440
1546540954,199229440
1546540957,200278016
1546540960,200278016
1546540963,201326592
1546540966,201326592
1546540969,201326592
1546540972,205520896
1546540975,205520896
1546540978,206569472
1546540981,206569472
t,value
1546541001,174063616
1546541004,26214400
1546541007,120586240
1546541010,187695104
1546541013,188743680
1546541016,188743680
1546541019,188743680
1546541022,189792256
1546541025,189792256
1546541028,189792256
1546541031,189792256
1546541034,190840832
1546541037,190840832
1546541040,190840832
1546541043,191889408
1546541046,191889408
1546541049,191889408
1546541052,192937984
1546541055,236978176
1546541058,248512512
1546541061,249561088
1546541064,250609664
1546541067,251658240
1546541070,251658240
1546541073,255852544
1546541076,255852544
1546541079,256901120
1546541082,256901120
1546541085,256901120
1546541088,257949696
1546541091,257949696
1546541094,263192576
1546541097,263192576
1546541100,263192576
1546541103,263192576
1546541106,264241152
1546541109,264241152
1546541112,264241152
1546541115,269484032
1546541118,269484032
1546541121,270532608
1546541124,270532608
1546541127,270532608
1546541130,270532608
1546541133,274726912
1546541136,275775488
1546541139,275775488
1546541142,275775488
1546541145,276824064
t,value
1546541166,210763776
1546541169,52428800
1546541172,103809024
1546541175,104857600
1546541178,144703488
1546541181,219152384
1546541184,230686720
1546541187,231735296
1546541190,232783872
1546541193,233832448
1546541196,233832448
1546541199,239075328
1546541202,239075328
1546541205,239075328
1546541208,239075328
1546541211,240123904
1546541214,240123904
1546541217,241172480
1546541220,245366784
1546541223,248512512
1546541226,249561088
1546541229,249561088
1546541232,249561088
1546541235,249561088
1546541238,250609664
1546541241,254803968
1546541244,254803968
1546541247,254803968
1546541250,255852544
1546541253,255852544
1546541256,255852544
1546541259,260046848
1546541262,260046848
1546541265,260046848
1546541268,261095424
1546541271,265289728
1546541274,275775488
1546541277,275775488
1546541280,279969792
1546541283,281018368
1546541286,281018368
1546541289,281018368
1546541292,282066944
1546541295,282066944
1546541298,282066944
1546541301,286261248
1546541304,287309824
1546541307,287309824
1546541310,288358400
1546541313,288358400
1546541316,288358400
1546541319,292552704
1546541322,292552704
1546541325,292552704
1546541328,0
1546541331,3145728
1546541334,3145728
1546541337,4194304
1546541340,8388608
1546541343,9437184
1546541346,9437184
1546541349,9437184
1546541352,10485760
1546541355,10485760
1546541358,11534336
1546541361,16777216
1546541364,17825792
1546541367,17825792
1546541370,20971520
1546541373,20971520
1546541376,20971520
1546541379,25165824
1546541382,25165824
1546541385,27262976
1546541388,28311552
1546541391,29360128
1546541394,30408704
1546541397,30408704
1546541400,35651584
1546541403,35651584
1546541406,35651584
1546541409,42991616
1546541412,52428800
1546541415,52428800
1546541418,53477376
1546541421,56623104
1546541424,57671680
1546541427,57671680
1546541430,57671680
1546541433,57671680
1546541436,58720256
1546541439,62914560
1546541442,62914560
1546541445,62914560
1546541448,63963136
1546541451,65011712
1546541454,65011712
1546541457,65011712
1546541460,66060288
1546541463,69206016
1546541466,71303168
1546541469,71303168
1546541472,72351744
1546541475,74448896
1546541478,75497472
1546541481,78643200
1546541484,79691776
1546541487,79691776
1546541490,79691776
1546541493,80740352
1546541496,80740352
1546541499,80740352
1546541502,84934656
1546541505,87031808
1546541508,89128960
1546541511,90177536
