t,value
1546540195,5767168
1546540198,5767168
1546540201,5767168
1546540204,5767168
1546540207,5767168
1546540210,5767168
1546540213,5767168
1546540216,5767168
1546540219,5767168
1546540222,5767168
1546540225,5767168
1546540228,5767168
1546540231,5767168
1546540234,5767168
1546540237,5767168
1546540240,5767168
1546540243,5767168
1546540246,5767168
1546540249,5767168
1546540252,5767168
1546540255,5767168
1546540258,5767168
1546540261,5767168
1546540264,5767168
1546540267,5767168
1546540270,5767168
1546540273,5767168
1546540276,5767168
1546540279,5767168
1546540282,5767168
1546540285,5767168
1546540288,5767168
1546540291,5767168
1546540294,5767168
1546540297,5767168
1546540300,5767168
1546540303,5767168
1546540306,5767168
1546540309,5767168
1546540312,5767168
1546540315,5767168
1546540318,5767168
1546540321,5767168
1546540324,5767168
1546540327,5767168
1546540330,5767168
1546540333,5767168
1546540336,5767168
1546540339,5767168
1546540342,5767168
1546540345,5767168
1546540348,5767168
1546540351,5767168
1546540354,5767168
1546540357,5767168
1546540360,5767168
1546540363,5767168
1546540366,5767168
1546540369,5767168
1546540372,7139848
1546540375,7139848
1546540378,7139848
1546540381,7139848
1546540384,7139848
1546540387,7139848
1546540390,7139848
1546540393,7139848
1546540396,7139848
1546540399,7139848
1546540402,7139848
1546540405,7139848
1546540408,7139848
1546540411,7139848
1546540414,7139848
1546540417,7139848
1546540420,7139848
1546540423,7139848
1546540426,7139848
1546540429,7139848
1546540432,7139848
1546540435,7139848
1546540438,7139848
1546540441,7139848
1546540444,7139848
1546540447,7139848
1546540450,7139848
1546540453,7139848
1546540456,7139848
1546540459,7139848
1546540462,7139848
1546540465,7139848
1546540468,7139848
1546540471,7139848
1546540474,7139848
1546540477,7139848
1546540480,7139848
1546540483,7139848
1546540486,7139848
1546540489,7139848
1546540492,7139848
1546540495,7139848
1546540498,7139848
1546540501,7139848
1546540504,7139848
1546540507,7139848
1546540510,7139848
1546540513,7139848
1546540516,7139848
1546540519,7139848
1546540522,7139848
1546540525,7139848
1546540528,7139848
1546540531,7139848
1546540534,7139848
1546540537,7139848
1546540540,7139848
1546540543,7139848
1546540546,7139848
1546540549,7139848
1546540552,7139848
1546540555,7139848
1546540558,7139848
1546540561,7139848
1546540564,7139848
1546540567,7139848
1546540570,7139848
1546540573,7139848
1546540576,7139848
1546540579,7139848
1546540582,7139848
1546540585,7139848
1546540588,7139848
1546540591,7139848
1546540594,7139848
1546540597,7139848
1546540600,7139848
1546540603,7139848
1546540606,7139848
1546540609,7139848
1546540612,7139848
1546540615,7139848
1546540618,7139848
1546540621,7139848
1546540624,7139848
1546540627,7139848
1546540630,7139848
1546540633,7139848
1546540636,7139848
1546540639,7139848
1546540642,7139848
1546540645,7139848
1546540648,7139848
1546540651,7139848
1546540654,7139848
1546540657,7139848
1546540660,7139848
1546540663,7139848
1546540666,7139848
1546540669,7139848
1546540672,7139848
1546540675,7139848
1546540678,7139848
1546540681,7139848
1546540684,7139848
1546540687,7139848
1546540690,7139848
1546540693,7139848
1546540696,7139848
1546540699,7139848
1546540702,7139848
1546540705,7139848
1546540708,7139848
1546540711,7139848
1546540714,7139848
1546540717,7139848
1546540720,7139848
1546540723,7139848
1546540726,7139848
1546540729,7139848
1546540732,7139848
1546540735,7139848
1546540738,7139848
1546540741,7139848
1546540744,7139848
1546540747,7139848
1546540750,7139848
1546540753,7139848
1546540756,7139848
1546540759,7139848
1546540762,7139848
1546540765,7139848
1546540768,7139848
1546540771,7139848
1546540774,7139848
1546540777,7139848
1546540780,7139848
1546540783,7139848
1546540786,7139848
1546540789,7139848
1546540792,7139848
1546540795,7139848
1546540798,7139848
1546540801,7139848
1546540804,7139848
1546540807,7139848
1546540810,7139848
