t,value
1546540195,26214400
1546540198,28311552
1546540201,28311552
1546540204,28311552
1546540207,28311552
1546540210,28311552
1546540213,28311552
1546540216,28311552
1546540219,28311552
1546540222,28311552
1546540225,28311552
1546540228,28311552
1546540231,28311552
1546540234,28311552
1546540237,28311552
1546540240,28311552
1546540243,28311552
1546540246,28311552
1546540249,28311552
1546540252,28311552
1546540255,28311552
1546540258,28311552
1546540261,28311552
1546540264,28311552
1546540267,28311552
1546540270,28311552
1546540273,28311552
1546540276,28311552
1546540279,28311552
1546540282,28311552
1546540285,28311552
1546540288,28311552
1546540291,28311552
1546540294,28311552
1546540297,28311552
1546540300,28311552
1546540303,28311552
1546540306,28311552
1546540309,28311552
1546540312,28311552
1546540315,28311552
1546540318,28311552
1546540321,28311552
1546540324,28311552
1546540327,28311552
1546540330,28311552
1546540333,28311552
1546540336,28311552
1546540339,28311552
1546540342,28311552
1546540345,28311552
1546540348,28311552
1546540351,28311552
1546540354,28311552
1546540357,28311552
1546540360,28311552
1546540363,28311552
1546540366,28311552
1546540369,28311552
1546540372,39845888
1546540375,39845888
1546540378,39845888
1546540381,39845888
1546540384,39845888
1546540387,39845888
1546540390,39845888
1546540393,39845888
1546540396,39845888
1546540399,39845888
1546540402,39845888
1546540405,39845888
1546540408,39845888
1546540411,39845888
1546540414,39845888
1546540417,39845888
1546540420,39845888
1546540423,39845888
1546540426,39845888
1546540429,39845888
1546540432,39845888
1546540435,39845888
1546540438,39845888
1546540441,39845888
1546540444,39845888
1546540447,39845888
1546540450,39845888
1546540453,39845888
1546540456,39845888
1546540459,39845888
1546540462,39845888
1546540465,39845888
1546540468,39845888
1546540471,39845888
1546540474,39845888
1546540477,39845888
1546540480,39845888
1546540483,39845888
1546540486,39845888
1546540489,39845888
1546540492,39845888
1546540495,39845888
1546540498,39845888
1546540501,39845888
1546540504,39845888
1546540507,39845888
1546540510,39845888
1546540513,39845888
1546540516,39845888
1546540519,39845888
1546540522,39845888
1546540525,39845888
1546540528,39845888
1546540531,39845888
1546540534,39845888
1546540537,39845888
1546540540,39845888
1546540543,39845888
1546540546,39845888
1546540549,39845888
1546540552,39845888
1546540555,39845888
1546540558,39845888
1546540561,39845888
1546540564,39845888
1546540567,39845888
1546540570,39845888
1546540573,39845888
1546540576,39845888
1546540579,39845888
1546540582,39845888
1546540585,39845888
1546540588,39845888
1546540591,39845888
1546540594,39845888
1546540597,39845888
1546540600,39845888
1546540603,39845888
1546540606,39845888
1546540609,39845888
1546540612,39845888
1546540615,39845888
1546540618,39845888
1546540621,39845888
1546540624,39845888
1546540627,39845888
1546540630,39845888
1546540633,39845888
1546540636,39845888
1546540639,39845888
1546540642,39845888
1546540645,39845888
1546540648,39845888
1546540651,39845888
1546540654,39845888
1546540657,39845888
1546540660,39845888
1546540663,39845888
1546540666,39845888
1546540669,39845888
1546540672,39845888
1546540675,39845888
1546540678,39845888
1546540681,39845888
1546540684,39845888
1546540687,39845888
1546540690,39845888
1546540693,39845888
1546540696,39845888
1546540699,39845888
1546540702,39845888
1546540705,39845888
1546540708,39845888
1546540711,39845888
1546540714,39845888
1546540717,39845888
1546540720,39845888
1546540723,39845888
1546540726,39845888
1546540729,39845888
1546540732,39845888
1546540735,39845888
1546540738,39845888
1546540741,39845888
1546540744,39845888
1546540747,39845888
1546540750,39845888
1546540753,39845888
1546540756,39845888
1546540759,39845888
1546540762,39845888
1546540765,39845888
1546540768,39845888
1546540771,39845888
1546540774,39845888
1546540777,39845888
1546540780,39845888
1546540783,39845888
1546540786,39845888
1546540789,39845888
1546540792,39845888
1546540795,39845888
1546540798,39845888
1546540801,39845888
1546540804,39845888
1546540807,39845888
1546540810,39845888
1546540813,39845888
1546540816,39845888
1546540819,39845888
1546540822,39845888
1546540825,39845888
1546540828,39845888
1546540831,39845888
1546540834,39845888
1546540837,39845888
1546540840,39845888
1546540843,39845888
1546540846,39845888
1546540849,39845888
1546540852,39845888
1546540855,39845888
1546540858,39845888
1546540861,39845888
1546540864,39845888
1546540867,39845888
1546540870,39845888
1546540873,39845888
1546540876,39845888
1546540879,39845888
1546540882,39845888
1546540885,39845888
1546540888,39845888
1546540891,39845888
1546540894,39845888
1546540897,39845888
1546540900,39845888
1546540903,39845888
1546540906,39845888
1546540909,39845888
1546540912,39845888
1546540915,39845888
1546540918,39845888
1546540921,39845888
1546540924,39845888
1546540927,39845888
1546540930,39845888
1546540933,39845888
1546540936,39845888
1546540939,39845888
1546540942,39845888
1546540945,39845888
1546540948,39845888
1546540951,39845888
1546540954,39845888
1546540957,39845888
1546540960,39845888
1546540963,39845888
1546540966,39845888
1546540969,39845888
1546540972,39845888
1546540975,39845888
1546540978,39845888
1546540981,39845888
t,value
1546541001,25165824
1546541004,29360128
1546541007,29360128
1546541010,29360128
1546541013,29360128
1546541016,29360128
1546541019,29360128
1546541022,29360128
1546541025,29360128
1546541028,29360128
1546541031,29360128
1546541034,29360128
1546541037,29360128
1546541040,29360128
1546541043,29360128
1546541046,29360128
1546541049,29360128
1546541052,29360128
1546541055,29360128
1546541058,29360128
1546541061,29360128
1546541064,29360128
1546541067,29360128
1546541070,29360128
1546541073,29360128
1546541076,29360128
1546541079,29360128
1546541082,29360128
1546541085,29360128
1546541088,29360128
1546541091,29360128
1546541094,29360128
1546541097,29360128
1546541100,29360128
1546541103,29360128
1546541106,29360128
1546541109,29360128
1546541112,29360128
1546541115,29360128
1546541118,29360128
1546541121,29360128
1546541124,29360128
1546541127,29360128
1546541130,29360128
1546541133,29360128
1546541136,29360128
1546541139,29360128
1546541142,29360128
1546541145,29360128
t,value
1546541166,25165824
1546541169,28311552
1546541172,28311552
1546541175,28311552
1546541178,28311552
1546541181,28311552
1546541184,28311552
1546541187,28311552
1546541190,28311552
1546541193,28311552
1546541196,28311552
1546541199,28311552
1546541202,28311552
1546541205,28311552
1546541208,28311552
1546541211,28311552
1546541214,28311552
1546541217,28311552
1546541220,28311552
1546541223,28311552
1546541226,28311552
1546541229,28311552
1546541232,28311552
1546541235,28311552
1546541238,28311552
1546541241,28311552
1546541244,28311552
1546541247,28311552
1546541250,28311552
1546541253,28311552
1546541256,28311552
1546541259,28311552
1546541262,28311552
1546541265,28311552
1546541268,28311552
1546541271,28311552
1546541274,28311552
1546541277,28311552
1546541280,28311552
1546541283,28311552
1546541286,28311552
1546541289,28311552
1546541292,28311552
1546541295,28311552
1546541298,28311552
1546541301,28311552
1546541304,28311552
1546541307,28311552
1546541310,28311552
1546541313,28311552
1546541316,28311552
1546541319,28311552
1546541322,28311552
1546541325,28311552
1546541328,39845888
1546541331,39845888
1546541334,39845888
1546541337,39845888
1546541340,39845888
1546541343,39845888
1546541346,39845888
1546541349,39845888
1546541352,39845888
1546541355,39845888
1546541358,39845888
1546541361,39845888
1546541364,39845888
1546541367,39845888
1546541370,39845888
1546541373,39845888
1546541376,39845888
1546541379,39845888
1546541382,39845888
1546541385,39845888
1546541388,39845888
1546541391,39845888
1546541394,39845888
1546541397,39845888
1546541400,39845888
1546541403,39845888
1546541406,39845888
1546541409,39845888
1546541412,39845888
1546541415,39845888
1546541418,39845888
1546541421,39845888
1546541424,39845888
1546541427,39845888
1546541430,39845888
1546541433,39845888
1546541436,39845888
1546541439,39845888
1546541442,39845888
1546541445,39845888
1546541448,39845888
1546541451,39845888
1546541454,39845888
1546541457,39845888
1546541460,39845888
1546541463,39845888
1546541466,39845888
1546541469,39845888
1546541472,39845888
1546541475,39845888
1546541478,39845888
1546541481,39845888
1546541484,39845888
1546541487,39845888
1546541490,39845888
1546541493,39845888
1546541496,39845888
1546541499,39845888
1546541502,39845888
1546541505,39845888
1546541508,39845888
1546541511,39845888
1546541514,39845888
1546541517,39845888
1546541520,39845888
1546541523,39845888
1546541526,39845888
1546541529,39845888
1546541532,39845888
1546541535,39845888
1546541538,39845888
1546541541,39845888
1546541544,39845888
1546541547,39845888
1546541550,39845888
1546541553,39845888
1546541556,39845888
1546541559,39845888
1546541562,39845888
1546541565,39845888
1546541568,39845888
1546541571,39845888
1546541574,39845888
1546541577,39845888
1546541580,39845888
1546541583,39845888
1546541586,39845888
1546541589,39845888
1546541592,39845888
1546541595,39845888
1546541598,39845888
1546541601,39845888
1546541604,39845888
1546541607,39845888
1546541610,39845888
1546541613,39845888
1546541616,39845888
1546541619,39845888
1546541622,39845888
1546541625,39845888
1546541628,39845888
1546541631,39845888
1546541634,39845888
1546541637,39845888
1546541640,39845888
1546541643,39845888
1546541646,39845888
1546541649,39845888
1546541652,39845888
1546541655,39845888
1546541658,39845888
1546541661,39845888
1546541664,39845888
1546541667,39845888
1546541670,39845888
1546541673,39845888
1546541676,39845888
1546541679,39845888
1546541682,39845888
1546541685,39845888
1546541688,39845888
1546541691,39845888
1546541694,39845888
1546541697,39845888
1546541700,39845888
1546541703,39845888
1546541706,39845888
1546541709,39845888
1546541712,39845888
1546541715,39845888
1546541718,39845888
1546541721,39845888
1546541724,39845888
1546541727,39845888
1546541730,39845888
1546541733,39845888
1546541736,39845888
1546541739,39845888
1546541742,39845888
1546541745,39845888
1546541748,39845888
1546541751,39845888
1546541754,39845888
1546541757,39845888
1546541760,39845888
1546541763,39845888
1546541766,39845888
1546541769,39845888
1546541772,39845888
1546541775,39845888
1546541778,39845888
1546541781,39845888
1546541784,39845888
1546541787,39845888
1546541790,39845888
1546541793,39845888
1546541796,39845888
1546541799,39845888
1546541802,39845888
1546541805,39845888
1546541808,39845888
1546541811,39845888
1546541814,39845888
1546541817,39845888
1546541820,39845888
1546541823,18874368
1546541826,18874368
1546541829,18874368
1546541832,18874368
1546541835,17825792
1546541838,17825792
1546541841,17825792
1546541844,17825792
1546541847,17825792
1546541850,17825792
1546541853,17825792
1546541856,17825792
1546541859,17825792
1546541862,17825792
1546541865,17825792
1546541868,17825792
1546541871,17825792
1546541874,17825792
1546541877,17825792
1546541880,17825792
1546541883,17825792
