t,value
1546540195,45139224
1546540198,60888984
1546540201,67930240
1546540204,71478768
1546540207,71479160
1546540210,71666904
1546540213,73281072
1546540216,73290848
1546540219,73295768
1546540222,73303112
1546540225,73303792
1546540228,73310584
1546540231,73412168
1546540234,73425816
1546540237,73438512
1546540240,73438904
1546540243,73439712
1546540246,73445224
1546540249,73452448
1546540252,73523296
1546540255,73526728
1546540258,73527096
1546540261,73529560
1546540264,73532600
1546540267,73533432
1546540270,73533432
1546540273,73632952
1546540276,73632952
1546540279,73634960
1546540282,73634960
1546540285,73634960
1546540288,73634960
1546540291,73699784
1546540294,73699784
1546540297,73700160
1546540300,73700952
1546540303,73703384
1546540306,73707216
1546540309,73707216
1546540312,73750784
1546540315,73752392
1546540318,73758064
1546540321,73759312
1546540324,73763720
1546540327,73765184
1546540330,73768368
1546540333,73795136
1546540336,73795512
1546540339,73795512
1546540342,73795512
1546540345,73798560
1546540348,73800080
1546540351,73846904
1546540354,73847864
1546540357,73847864
1546540360,73849824
1546540363,73965840
1546540366,73995856
1546540369,74014600
1546540372,74095264
1546540375,74095264
1546540378,74095264
1546540381,74095264
1546540384,74095608
1546540387,74095608
1546540390,74097400
1546540393,74143608
1546540396,74146456
1546540399,74146456
1546540402,74146456
1546540405,74147168
1546540408,74147168
1546540411,74183056
1546540414,74183392
1546540417,74183392
1546540420,74183392
1546540423,74183392
1546540426,74183392
1546540429,74183864
1546540432,74216704
1546540435,74216704
1546540438,74216704
1546540441,74216704
1546540444,74216704
1546540447,74217456
1546540450,74218208
1546540453,74248224
1546540456,74248224
1546540459,74249368
1546540462,74249368
1546540465,74249720
1546540468,74250216
1546540471,74272600
1546540474,74272600
1546540477,74274272
1546540480,74274272
1546540483,74274272
1546540486,74274272
1546540489,74274272
1546540492,74298640
1546540495,74298640
1546540498,74298640
1546540501,74298640
1546540504,74308608
1546540507,74309368
1546540510,74309368
1546540513,74524936
1546540516,74524936
1546540519,74525488
1546540522,74525864
1546540525,74525864
1546540528,74528264
1546540531,74551000
1546540534,74551000
1546540537,74551000
1546540540,74551000
1546540543,74551000
1546540546,74551000
1546540549,74551000
1546540552,74571408
1546540555,74571696
1546540558,74572216
1546540561,74572216
1546540564,74572216
1546540567,74572216
1546540570,74572216
1546540573,74594632
1546540576,74598472
1546540579,74598472
1546540582,74598472
1546540585,74598472
1546540588,74599848
1546540591,74619536
1546540594,74620440
1546540597,74653720
1546540600,74655208
1546540603,74656464
1546540606,74656840
1546540609,74656840
1546540612,74675576
1546540615,74676112
1546540618,74678192
1546540621,74678192
1546540624,74678192
1546540627,74678192
1546540630,74679472
1546540633,74705832
1546540636,74717504
1546540639,74727856
1546540642,74751464
1546540645,74751464
1546540648,74751464
1546540651,74753496
1546540654,74753496
1546540657,74763528
1546540660,74797032
1546540663,75373600
1546540666,75375280
1546540669,75377736
1546540672,75392312
1546540675,75392312
1546540678,75392312
1546540681,75392312
1546540684,75392312
1546540687,75392312
1546540690,75392312
1546540693,75399744
1546540696,75399744
1546540699,75399744
1546540702,75407296
1546540705,75414136
1546540708,75414136
1546540711,75417744
1546540714,75450688
1546540717,75453976
1546540720,75456248
1546540723,75456248
1546540726,75459072
1546540729,75481136
1546540732,75505024
1546540735,75516016
1546540738,75526520
1546540741,75527232
1546540744,75527232
1546540747,75527232
1546540750,75527232
1546540753,75529112
1546540756,75529112
1546540759,75529112
1546540762,75529816
1546540765,75529816
1546540768,75529816
1546540771,75532760
1546540774,75532760
1546540777,75532760
1546540780,75532760
1546540783,75533536
1546540786,75533536
1546540789,75533536
1546540792,75542664
1546540795,75827640
1546540798,75912552
1546540801,75912552
1546540804,75912744
1546540807,75913720
1546540810,75915280
1546540813,75937992
1546540816,75939040
1546540819,75939040
1546540822,75939040
1546540825,75939040
1546540828,75939040
1546540831,75947408
1546540834,75947408
1546540837,75948128
1546540840,75951288
1546540843,75955296
1546540846,75955296
1546540849,75957056
1546540852,75975968
1546540855,75975968
1546540858,75976784
1546540861,75987496
1546540864,75987496
1546540867,75987496
1546540870,75987496
1546540873,76001520
1546540876,76001520
1546540879,76001520
1546540882,76001520
1546540885,76001520
1546540888,76001520
1546540891,76006784
1546540894,76006784
1546540897,76006784
1546540900,76006784
1546540903,76009472
1546540906,76009472
1546540909,76009472
1546540912,76027176
1546540915,76028184
1546540918,76028184
1546540921,76028184
1546540924,76028184
1546540927,76028184
1546540930,76028184
1546540933,76039864
1546540936,76039864
1546540939,76039864
1546540942,76039864
1546540945,76039864
1546540948,76039864
1546540951,76050360
1546540954,76050808
1546540957,76051936
1546540960,76090160
1546540963,76096800
1546540966,76096800
1546540969,76096800
1546540972,76105424
1546540975,76105424
1546540978,76105424
1546540981,76106312
t,value
1546541001,44665856
1546541004,60894832
1546541007,66449896
1546541010,70696648
1546541013,70696648
1546541016,70700200
1546541019,70711200
1546541022,70717504
1546541025,70721568
1546541028,70721928
1546541031,70723520
1546541034,70727640
1546541037,70729424
1546541040,70732288
1546541043,70732912
1546541046,70737168
1546541049,70749824
1546541052,70799136
1546541055,72450944
1546541058,73187040
1546541061,73210528
1546541064,73296096
1546541067,73312456
1546541070,73320032
1546541073,73406688
1546541076,73421304
1546541079,73424880
1546541082,73424880
1546541085,73427784
1546541088,73427784
1546541091,73427784
1546541094,73494080
1546541097,73494888
1546541100,73496816
1546541103,73497192
1546541106,73497192
1546541109,73498008
1546541112,73498008
1546541115,73557592
1546541118,73564880
1546541121,73566488
1546541124,73569152
1546541127,73570736
1546541130,73573752
1546541133,73621416
1546541136,73640184
1546541139,73640184
1546541142,73640184
1546541145,73640184
t,value
1546541166,47422520
1546541169,61395752
1546541172,65208152
1546541175,65221176
1546541178,67915576
1546541181,71850232
1546541184,72563464
1546541187,72654464
1546541190,72729416
1546541193,72730168
1546541196,72731000
1546541199,72830240
1546541202,72832024
1546541205,72837688
1546541208,72846136
1546541211,72846528
1546541214,72855120
1546541217,72867024
1546541220,72935184
1546541223,72996480
1546541226,73013992
1546541229,73014712
1546541232,73014776
1546541235,73015936
1546541238,73016632
1546541241,73063336
1546541244,73064280
1546541247,73066328
1546541250,73069232
1546541253,73069232
1546541256,73069232
1546541259,73131472
1546541262,73132912
1546541265,73132912
1546541268,73156304
1546541271,73395784
1546541274,73628912
1546541277,73650520
1546541280,73696616
1546541283,73701208
1546541286,73704504
1546541289,73707168
1546541292,73708416
1546541295,73711432
1546541298,73715136
1546541301,73765800
1546541304,73765800
1546541307,73765800
1546541310,73765800
1546541313,73765800
1546541316,73765800
1546541319,73793896
1546541322,73793896
1546541325,73794856
1546541328,73795728
1546541331,73797976
1546541334,73798368
1546541337,73798368
1546541340,73829416
1546541343,73833624
1546541346,73833624
1546541349,73833624
1546541352,73833624
1546541355,73833968
1546541358,73843208
1546541361,73890376
1546541364,73933544
1546541367,73936640
1546541370,73988000
1546541373,73988000
1546541376,73989552
1546541379,74011000
1546541382,74012080
1546541385,74112008
1546541388,74140992
1546541391,74152008
1546541394,74152008
1546541397,74156296
1546541400,74186336
1546541403,74195432
1546541406,74199600
1546541409,74453552
1546541412,74496528
1546541415,74496528
1546541418,74497280
1546541421,74518184
1546541424,74518184
1546541427,74518872
1546541430,74520016
1546541433,74520016
1546541436,74520016
1546541439,74732200
1546541442,74736912
1546541445,74741416
1546541448,74741416
1546541451,74745248
1546541454,74754072
1546541457,74754072
1546541460,74754072
1546541463,74770608
1546541466,74786792
1546541469,74793160
1546541472,74807696
1546541475,74848096
1546541478,74856128
1546541481,74862288
1546541484,74863600
1546541487,74864144
1546541490,74864144
1546541493,74866544
1546541496,74866544
1546541499,74867408
1546541502,74879016
1546541505,74888704
1546541508,74903320
1546541511,74923432
1546541514,74930624
1546541517,74959992
1546541520,75062872
1546541523,75103624
1546541526,75118584
1546541529,75127648
1546541532,75137448
1546541535,75156680
1546541538,75171304
1546541541,75195872
1546541544,75210336
1546541547,75214176
1546541550,75214176
1546541553,75214176
1546541556,75214176
1546541559,75219160
1546541562,75247416
1546541565,75263808
1546541568,75272248
1546541571,75273880
1546541574,75275368
1546541577,75284576
1546541580,75296368
1546541583,75310904
1546541586,75311440
1546541589,75316728
1546541592,75324728
1546541595,75336704
1546541598,75347232
1546541601,75364856
1546541604,75367632
1546541607,75394376
1546541610,76092200
1546541613,76212008
1546541616,76212008
1546541619,76239768
1546541622,76246976
1546541625,76246976
1546541628,76246976
1546541631,76246976
1546541634,76248656
1546541637,76251112
1546541640,76251112
1546541643,76262160
1546541646,76262160
1546541649,76262160
1546541652,76262160
1546541655,76262160
1546541658,76262160
1546541661,76264256
1546541664,76264256
1546541667,76264256
1546541670,76264256
1546541673,76268536
1546541676,76268536
1546541679,76268536
1546541682,76270928
1546541685,76270928
1546541688,76270928
1546541691,76270928
1546541694,76270928
1546541697,76271304
1546541700,76271304
1546541703,76276456
1546541706,76276456
1546541709,76276456
1546541712,76276456
1546541715,76276456
1546541718,76276456
1546541721,76279680
1546541724,76281448
1546541727,76281448
1546541730,76281448
1546541733,76282152
1546541736,76282152
1546541739,76282152
1546541742,76290384
1546541745,76290384
1546541748,76294152
1546541751,76299752
1546541754,76300528
1546541757,76300528
1546541760,76300528
1546541763,76318288
1546541766,76607160
1546541769,76616744
1546541772,76616744
1546541775,76616936
1546541778,76616936
1546541781,76631704
1546541784,76631704
1546541787,76647656
1546541790,76860960
1546541793,76867624
1546541796,76918848
1546541799,76936256
1546541802,77023968
1546541805,77023968
1546541808,77024688
1546541811,77024688
1546541814,77024688
1546541817,77024688
1546541820,77024688
1546541823,77124368
1546541826,77153008
1546541829,77182664
1546541832,78084264
1546541835,78905352
1546541838,79547040
1546541841,79553984
1546541844,79553984
1546541847,79553984
1546541850,79553984
1546541853,79553984
1546541856,79553984
1546541859,79553984
1546541862,79593672
1546541865,79593672
1546541868,79593672
1546541871,79593672
1546541874,79596360
1546541877,79596360
1546541880,79596360
1546541883,79615528
1546541886,79616536
1546541889,79616536
1546541892,79616536
1546541895,79616536
1546541898,79616536
1546541901,79621376
