t,value
1546540195,24
1546540198,35
1546540201,44
1546540204,47
1546540207,47
1546540210,48
1546540213,54
1546540216,53
1546540219,51
1546540222,51
1546540225,49
1546540228,49
1546540231,49
1546540234,49
1546540237,49
1546540240,48
1546540243,48
1546540246,48
1546540249,48
1546540252,52
1546540255,51
1546540258,50
1546540261,49
1546540264,48
1546540267,48
1546540270,48
1546540273,48
1546540276,48
1546540279,47
1546540282,47
1546540285,47
1546540288,47
1546540291,48
1546540294,48
1546540297,48
1546540300,47
1546540303,47
1546540306,47
1546540309,47
1546540312,48
1546540315,48
1546540318,48
1546540321,46
1546540324,46
1546540327,46
1546540330,46
1546540333,47
1546540336,47
1546540339,46
1546540342,46
1546540345,46
1546540348,46
1546540351,47
1546540354,47
1546540357,47
1546540360,46
1546540363,48
1546540366,48
1546540369,48
1546540372,48
1546540375,48
1546540378,47
1546540381,45
1546540384,45
1546540387,45
1546540390,45
1546540393,46
1546540396,46
1546540399,45
1546540402,45
1546540405,45
1546540408,45
1546540411,46
1546540414,46
1546540417,46
1546540420,45
1546540423,45
1546540426,45
1546540429,45
1546540432,46
1546540435,46
1546540438,46
1546540441,45
1546540444,45
1546540447,45
1546540450,45
1546540453,46
1546540456,46
1546540459,45
1546540462,45
1546540465,45
1546540468,45
1546540471,46
1546540474,46
1546540477,46
1546540480,45
1546540483,45
1546540486,45
1546540489,45
1546540492,46
1546540495,46
1546540498,46
1546540501,45
1546540504,45
1546540507,45
1546540510,45
1546540513,46
1546540516,46
1546540519,45
1546540522,45
1546540525,45
1546540528,45
1546540531,48
1546540534,48
1546540537,47
1546540540,47
1546540543,46
1546540546,46
1546540549,45
1546540552,46
1546540555,46
1546540558,46
1546540561,45
1546540564,45
1546540567,45
1546540570,45
1546540573,46
1546540576,46
1546540579,45
1546540582,45
1546540585,45
1546540588,45
1546540591,46
1546540594,46
1546540597,47
1546540600,47
1546540603,46
1546540606,45
1546540609,45
1546540612,46
1546540615,46
1546540618,47
1546540621,47
1546540624,47
1546540627,45
1546540630,46
1546540633,49
1546540636,49
1546540639,49
1546540642,49
1546540645,48
1546540648,47
1546540651,46
1546540654,46
1546540657,47
1546540660,47
1546540663,47
1546540666,47
1546540669,46
1546540672,48
1546540675,47
1546540678,47
1546540681,46
1546540684,46
1546540687,46
1546540690,45
1546540693,46
1546540696,46
1546540699,45
1546540702,46
1546540705,47
1546540708,47
1546540711,46
1546540714,49
1546540717,48
1546540720,48
1546540723,47
1546540726,47
1546540729,47
1546540732,47
1546540735,46
1546540738,46
1546540741,46
1546540744,46
1546540747,46
1546540750,46
1546540753,46
1546540756,46
1546540759,45
1546540762,45
1546540765,45
1546540768,45
1546540771,46
1546540774,46
1546540777,46
1546540780,45
1546540783,45
1546540786,45
1546540789,45
1546540792,46
1546540795,46
1546540798,47
1546540801,47
1546540804,46
1546540807,46
1546540810,47
1546540813,47
1546540816,47
1546540819,46
1546540822,45
1546540825,45
1546540828,45
1546540831,46
1546540834,46
1546540837,46
1546540840,46
1546540843,47
1546540846,47
1546540849,46
1546540852,46
1546540855,46
1546540858,46
1546540861,45
1546540864,45
1546540867,45
1546540870,45
1546540873,46
1546540876,46
1546540879,45
1546540882,45
1546540885,45
1546540888,45
1546540891,46
1546540894,46
1546540897,46
1546540900,45
1546540903,45
1546540906,45
1546540909,45
1546540912,46
1546540915,46
1546540918,46
1546540921,45
1546540924,45
1546540927,45
1546540930,45
1546540933,46
1546540936,46
1546540939,45
1546540942,45
1546540945,45
1546540948,45
1546540951,46
1546540954,46
1546540957,46
1546540960,45
1546540963,46
1546540966,46
1546540969,46
1546540972,46
1546540975,46
1546540978,46
1546540981,46
t,value
1546541001,24
1546541004,35
1546541007,43
1546541010,46
1546541013,46
1546541016,44
1546541019,44
1546541022,44
1546541025,44
1546541028,44
1546541031,44
1546541034,44
1546541037,44
1546541040,44
1546541043,44
1546541046,44
1546541049,44
1546541052,45
1546541055,50
1546541058,51
1546541061,51
1546541064,51
1546541067,50
1546541070,49
1546541073,48
1546541076,48
1546541079,48
1546541082,47
1546541085,47
1546541088,47
1546541091,47
1546541094,48
1546541097,48
1546541100,48
1546541103,47
1546541106,47
1546541109,47
1546541112,47
1546541115,48
1546541118,48
1546541121,48
1546541124,47
1546541127,46
1546541130,46
1546541133,47
1546541136,47
1546541139,47
1546541142,46
1546541145,46
t,value
1546541166,24
1546541169,35
1546541172,41
1546541175,42
1546541178,46
1546541181,52
1546541184,51
1546541187,51
1546541190,51
1546541193,50
1546541196,50
1546541199,50
1546541202,50
1546541205,49
1546541208,49
1546541211,49
1546541214,48
1546541217,49
1546541220,49
1546541223,50
1546541226,50
1546541229,50
1546541232,47
1546541235,47
1546541238,47
1546541241,48
1546541244,48
1546541247,47
1546541250,47
1546541253,47
1546541256,47
1546541259,48
1546541262,48
1546541265,48
1546541268,48
1546541271,49
1546541274,49
1546541277,48
1546541280,50
1546541283,49
1546541286,49
1546541289,48
1546541292,47
1546541295,47
1546541298,46
1546541301,49
1546541304,48
1546541307,48
1546541310,47
1546541313,47
1546541316,47
1546541319,47
1546541322,47
1546541325,47
1546541328,46
1546541331,46
1546541334,46
1546541337,46
1546541340,49
