t,value
1546540195,28
1546540198,39
1546540201,48
1546540204,51
1546540207,51
1546540210,52
1546540213,58
1546540216,57
1546540219,55
1546540222,55
1546540225,53
1546540228,53
1546540231,53
1546540234,53
1546540237,53
1546540240,52
1546540243,52
1546540246,52
1546540249,52
1546540252,56
1546540255,55
1546540258,54
1546540261,53
1546540264,52
1546540267,52
1546540270,52
1546540273,52
1546540276,52
1546540279,51
1546540282,51
1546540285,51
1546540288,51
1546540291,52
1546540294,52
1546540297,52
1546540300,51
1546540303,51
1546540306,51
1546540309,51
1546540312,52
1546540315,52
1546540318,52
1546540321,50
1546540324,50
1546540327,50
1546540330,50
1546540333,51
1546540336,51
1546540339,50
1546540342,50
1546540345,50
1546540348,50
1546540351,51
1546540354,51
1546540357,51
1546540360,50
1546540363,52
1546540366,52
1546540369,52
1546540372,52
1546540375,52
1546540378,51
1546540381,49
1546540384,49
1546540387,49
1546540390,49
1546540393,50
1546540396,50
1546540399,49
1546540402,49
1546540405,49
1546540408,49
1546540411,50
1546540414,50
1546540417,50
1546540420,49
1546540423,49
1546540426,49
1546540429,49
1546540432,50
1546540435,50
1546540438,50
1546540441,49
1546540444,49
1546540447,49
1546540450,49
1546540453,50
1546540456,50
1546540459,49
1546540462,49
1546540465,49
1546540468,49
1546540471,50
1546540474,50
1546540477,50
1546540480,49
1546540483,49
1546540486,49
1546540489,49
1546540492,50
1546540495,50
1546540498,50
1546540501,49
1546540504,49
1546540507,49
1546540510,49
1546540513,50
1546540516,50
1546540519,49
1546540522,49
1546540525,49
1546540528,49
1546540531,52
1546540534,52
1546540537,51
1546540540,51
1546540543,50
1546540546,50
1546540549,49
1546540552,50
1546540555,50
1546540558,50
1546540561,49
1546540564,49
1546540567,49
1546540570,49
1546540573,50
1546540576,50
1546540579,49
1546540582,49
1546540585,49
1546540588,49
1546540591,50
1546540594,50
1546540597,51
1546540600,51
1546540603,50
1546540606,49
1546540609,49
1546540612,50
1546540615,50
1546540618,51
1546540621,51
1546540624,51
1546540627,49
1546540630,50
1546540633,53
1546540636,53
1546540639,53
1546540642,53
1546540645,52
1546540648,51
1546540651,50
1546540654,50
1546540657,51
1546540660,51
1546540663,51
1546540666,51
1546540669,50
1546540672,52
1546540675,51
1546540678,51
1546540681,50
1546540684,50
1546540687,50
1546540690,49
1546540693,50
1546540696,50
1546540699,49
1546540702,50
1546540705,51
1546540708,51
1546540711,50
1546540714,53
1546540717,52
1546540720,52
1546540723,51
1546540726,51
1546540729,51
1546540732,51
1546540735,50
1546540738,50
1546540741,50
1546540744,50
1546540747,50
1546540750,50
1546540753,50
1546540756,50
1546540759,49
1546540762,49
1546540765,49
1546540768,49
1546540771,50
1546540774,50
1546540777,50
1546540780,49
1546540783,49
